Iteration   Continuity  Energy  
1        0.302698       0.402993
2        0.470715       0.617098
3        0.507262       0.665507
4        0.469905       0.609844
5        0.407501       0.522219
6        0.362136       0.460129
7        0.321902       0.40361
8        0.337875       0.413282
9        0.357806       0.438051
10        0.380913       0.475059
11        0.389145       0.483145
12        0.272243       0.373424
13        0.260565       0.324403
14        0.277992       0.364936
15        0.287881       0.395885
16        0.296267       0.389158
17        0.305975       0.38639
18        0.33266       0.432355
19        0.302446       0.37328
20        0.235841       0.351168
21        0.248266       0.35389
22        0.257606       0.364225
23        0.256125       0.380493
24        0.247122       0.367229
25        0.24541       0.373604
26        0.335117       0.425234
27        0.220777       0.34032
28        0.236243       0.341775
29        0.271432       0.342975
30        0.239309       0.359356
31        0.231495       0.337002
32        0.225347       0.346305
33        0.21751       0.338518
34        0.209077       0.314221
35        0.219296       0.318324
36        0.209845       0.301851
37        0.242693       0.327969
38        0.210421       0.321685
39        0.21626       0.313377
40        0.202031       0.317492
41        0.191988       0.289418
42        0.203247       0.280508
43        0.238222       0.313097
44        0.189764       0.286843
45        0.192625       0.293393
46        0.195686       0.305203
47        0.228125       0.296225
48        0.182226       0.277674
49        0.185762       0.265406
50        0.174102       0.262631
51        0.179239       0.271713
52        0.205529       0.275278
53        0.206235       0.279286
54        0.177131       0.26843
55        0.170434       0.24867
56        0.168226       0.244171
57        0.169278       0.255979
58        0.168981       0.260259
59        0.179324       0.261134
60        0.166556       0.258868
61        0.156694       0.252821
62        0.177749       0.239848
63        0.181063       0.239788
64        0.160433       0.246979
65        0.165325       0.251994
66        0.162142       0.254049
67        0.216972       0.250654
68        0.149212       0.241459
69        0.191766       0.220696
70        0.150959       0.231638
71        0.15547       0.240352
72        0.156439       0.24634
73        0.149693       0.237721
74        0.159541       0.239427
75        0.155167       0.222819
76        0.148098       0.218622
77        0.163301       0.229699
78        0.151394       0.238157
79        0.161996       0.234555
80        0.148338       0.239118
81        0.204672       0.238029
82        0.15079       0.224012
83        0.150354       0.21575
84        0.176826       0.228443
85        0.143626       0.22855
86        0.144996       0.233474
87        0.147878       0.227434
88        0.137287       0.22693
89        0.132197       0.21309
90        0.138893       0.217698
91        0.153843       0.221902
92        0.141788       0.228044
93        0.140818       0.228698
94        0.136355       0.224415
95        0.133303       0.22024
96        0.166266       0.217453
97        0.134917       0.215004
98        0.138368       0.222059
99        0.140002       0.22772
100        0.171031       0.223371
101        0.136761       0.226535
102        0.145577       0.221008
103        0.129063       0.214896
104        0.133041       0.212666
105        0.160267       0.222547
106        0.132942       0.217836
107        0.137367       0.227914
108        0.135855       0.222191
109        0.132956       0.224911
110        0.126687       0.211998
111        0.132778       0.215569
112        0.129262       0.210505
113        0.136014       0.225642
114        0.128196       0.214789
115        0.134314       0.227235
116        0.12161       0.209855
117        0.127107       0.217576
118        0.124782       0.204245
119        0.132477       0.21919
120        0.126568       0.21011
121        0.13416       0.224183
122        0.121058       0.207125
123        0.137531       0.222595
124        0.12025       0.202968
125        0.137286       0.210462
126        0.124571       0.206733
127        0.130055       0.218605
128        0.142163       0.204532
129        0.129515       0.221894
130        0.117314       0.199914
131        0.157229       0.214355
132        0.121064       0.200668
133        0.126723       0.212183
134        0.121752       0.204387
135        0.128217       0.218911
136        0.115347       0.197587
137        0.125451       0.217413
138        0.116013       0.197517
139        0.121977       0.205184
140        0.118882       0.200125
141        0.12443       0.211152
142        0.115689       0.201084
143        0.124583       0.214974
144        0.110765       0.194393
145        0.125335       0.20848
146        0.11445       0.198056
147        0.120796       0.204006
148        0.125523       0.20107
149        0.122786       0.210966
150        0.115983       0.196724
151        0.123478       0.208684
152        0.109875       0.195251
153        0.126917       0.196314
154        0.110107       0.198398
155        0.122115       0.201556
156        0.136096       0.198167
157        0.118244       0.204535
158        0.136963       0.1922
159        0.112918       0.197014
160        0.109696       0.196318
161        0.113577       0.192446
162        0.130136       0.197531
163        0.115459       0.198543
164        0.129988       0.190312
165        0.112109       0.194663
166        0.10936       0.1939
167        0.107749       0.186008
168        0.108521       0.194789
169        0.109838       0.187418
170        0.108037       0.189373
171        0.108852       0.187804
172        0.108566       0.190646
173        0.120608       0.184776
174        0.107886       0.191913
175        0.10366       0.175539
176        0.110799       0.187579
177        0.115763       0.177294
178        0.107187       0.186347
179        0.116022       0.182271
180        0.106781       0.188106
181        0.116373       0.176047
182        0.102793       0.181265
183        0.116901       0.173384
184        0.102564       0.176207
185        0.112148       0.179207
186        0.103139       0.179128
187        0.113868       0.174358
188        0.100227       0.175175
189        0.117248       0.17346
190        0.09695       0.170574
191        0.102421       0.176439
192        0.0980837       0.168554
193        0.0987612       0.171206
194        0.0959653       0.166194
195        0.105296       0.172402
196        0.0918398       0.168857
197        0.0974428       0.173489
198        0.0907253       0.15581
199        0.0938349       0.163405
200        0.0907338       0.165193
201        0.0953909       0.165714
202        0.0913667       0.166464
203        0.127454       0.164934
204        0.0947356       0.158728
205        0.0886845       0.159333
206        0.104016       0.164058
207        0.0901609       0.154698
208        0.0900879       0.162297
209        0.10947       0.153587
210        0.0916235       0.159365
