Time_s,Voltage,Force_lbf
0,0.42,1.1
0.103,0.41,1.09
0.201,0.42,1.12
0.303,0.41,1.09
0.406,0.42,1.12
0.504,0.41,1.09
0.606,0.42,1.1
0.705,0.41,1.09
0.808,0.41,1.09
0.909,0.42,1.12
1.008,0.41,1.09
1.11,0.41,1.09
1.213,0.41,1.07
1.311,0.41,1.09
1.413,0.42,1.1
1.512,0.41,1.09
1.614,0.42,1.1
1.716,0.42,1.1
1.815,0.41,1.09
1.917,0.42,1.1
2.016,0.41,1.07
2.118,0.42,1.1
2.221,0.42,1.1
2.318,0.41,1.09
2.421,0.41,1.07
2.523,0.41,1.07
2.622,0.41,1.09
2.724,0.41,1.07
2.822,0.41,1.09
2.925,0.42,1.12
3.027,0.42,1.1
3.126,0.42,1.1
3.228,0.42,1.1
3.33,0.41,1.09
3.429,0.42,1.1
3.531,0.41,1.09
3.629,0.41,1.09
3.732,0.41,1.09
3.834,0.42,1.1
3.932,0.42,1.1
4.035,0.41,1.09
4.137,0.41,1.09
4.235,0.42,1.1
4.338,0.41,1.09
4.436,0.42,1.1
4.539,0.41,1.09
4.641,0.42,1.12
4.739,0.41,1.09
4.841,0.41,1.07
4.94,0.42,1.1
5.042,0.41,1.07
5.145,0.42,1.12
5.243,0.41,1.09
5.345,0.41,1.07
5.448,0.41,1.09
5.546,0.41,1.09
5.649,0.41,1.07
5.747,0.41,1.09
5.849,0.41,1.09
5.952,0.42,1.12
6.05,0.41,1.09
6.152,0.42,1.1
6.254,0.41,1.07
6.353,0.42,1.1
6.455,0.41,1.09
6.554,0.41,1.05
6.656,0.41,1.09
6.759,0.41,1.09
6.857,0.41,1.07
6.959,0.42,1.1
7.061,0.42,1.1
7.16,0.41,1.09
7.262,0.41,1.09
7.36,0.41,1.09
7.463,0.42,1.12
7.565,0.41,1.07
7.664,0.41,1.09
7.766,0.41,1.09
7.864,0.41,1.09
7.967,0.42,1.1
8.069,0.41,1.09
8.167,0.41,1.09
8.27,0.42,1.1
8.372,0.42,1.1
8.471,0.41,1.09
8.573,0.42,1.1
8.672,0.41,1.07
8.774,0.41,1.09
8.876,0.42,1.1
8.974,0.42,1.1
9.077,0.42,1.14
9.179,0.44,1.21
9.277,0.69,2.56
9.38,1.26,5.52
