Time [ms],Voltage,Thrust lbf
497,0.42,1.1
600,0.41,1.09
698,0.42,1.12
800,0.41,1.09
903,0.42,1.12
1001,0.41,1.09
1103,0.42,1.1
1202,0.41,1.09
1305,0.41,1.09
1406,0.42,1.12
1505,0.41,1.09
1607,0.41,1.09
1710,0.41,1.07
1808,0.41,1.09
1910,0.42,1.1
2009,0.41,1.09
2111,0.42,1.1
2213,0.42,1.1
2312,0.41,1.09
2414,0.42,1.1
2513,0.41,1.07
2615,0.42,1.1
2718,0.42,1.1
2815,0.41,1.09
2918,0.41,1.07
3020,0.41,1.07
3119,0.41,1.09
3221,0.41,1.07
3319,0.41,1.09
3422,0.42,1.12
3524,0.42,1.1
3623,0.42,1.1
3725,0.42,1.1
3827,0.41,1.09
3926,0.42,1.1
4028,0.41,1.09
4126,0.41,1.09
4229,0.41,1.09
4331,0.42,1.1
4429,0.42,1.1
4532,0.41,1.09
4634,0.41,1.09
4732,0.42,1.1
4835,0.41,1.09
4933,0.42,1.1
5036,0.41,1.09
5138,0.42,1.12
5236,0.41,1.09
5338,0.41,1.07
5437,0.42,1.1
5539,0.41,1.07
5642,0.42,1.12
5740,0.41,1.09
5842,0.41,1.07
5945,0.41,1.09
6043,0.41,1.09
6146,0.41,1.07
6244,0.41,1.09
6346,0.41,1.09
6449,0.42,1.12
6547,0.41,1.09
6649,0.42,1.1
6751,0.41,1.07
6850,0.42,1.1
6952,0.41,1.09
7051,0.41,1.05
7153,0.41,1.09
7256,0.41,1.09
7354,0.41,1.07
7456,0.42,1.1
7558,0.42,1.1
7657,0.41,1.09
7759,0.41,1.09
7857,0.41,1.09
7960,0.42,1.12
8062,0.41,1.07
8161,0.41,1.09
8263,0.41,1.09
8361,0.41,1.09
8464,0.42,1.1
8566,0.41,1.09
8664,0.41,1.09
8767,0.42,1.1
8869,0.42,1.1
8968,0.41,1.09
9070,0.42,1.1
9169,0.41,1.07
9271,0.41,1.09
9373,0.42,1.1
9471,0.42,1.1
9574,0.42,1.14
9676,0.44,1.21
9774,0.69,2.56
9877,1.26,5.52
9975,1.34,5.95
10077,0.8,3.12
10180,0.75,2.83
10279,0.75,2.83
10380,0.7,2.61
10483,0.69,2.53
10581,0.68,2.51
10684,0.69,2.53
10782,0.69,2.53
10884,0.69,2.53
10987,0.69,2.54
11085,0.67,2.43
11188,0.68,2.48
11290,0.67,2.44
11388,0.67,2.46
11490,0.67,2.44
11589,0.45,1.26
11691,0.43,1.17
11793,0.44,1.21
11892,0.43,1.16
11994,0.43,1.16
12092,0.43,1.17
12195,0.43,1.17
12298,0.43,1.16
12396,0.42,1.14
12498,0.43,1.17
12600,0.43,1.17
12699,0.43,1.17
12801,0.43,1.17
12899,0.43,1.16
13002,0.43,1.17
13104,0.43,1.16
13203,0.43,1.17
13305,0.43,1.19
13407,0.43,1.16
13505,0.43,1.17
13608,0.43,1.16
13706,0.43,1.17
13809,0.42,1.14
13911,0.43,1.17
14009,0.43,1.16
14112,0.43,1.17
14214,0.43,1.16
14313,0.43,1.16
14415,0.43,1.17
14513,0.42,1.14
14615,0.43,1.17
14718,0.43,1.17
14816,0.43,1.17
14918,0.43,1.16
15021,0.43,1.16
15120,0.42,1.14
15222,0.43,1.16
15320,0.43,1.17
15422,0.42,1.14
15525,0.43,1.16
15623,0.43,1.17
15725,0.43,1.16
15828,0.43,1.16
15926,0.43,1.16
16029,0.42,1.14
16127,0.43,1.16
16230,0.43,1.17
16332,0.44,1.21
16430,0.33,0.65
16532,1.31,5.8
16635,0.39,0.99
16733,0.35,0.78
16835,0.42,1.12
16934,0.42,1.1
17036,0.4,1.04
17139,0.39,0.99
17237,0.39,0.95
17339,0.41,1.05
17437,0.41,1.05
17540,0.4,1.04
17642,0.4,1.02
17741,0.39,0.95
17843,0.4,1.04
17945,0.4,1.02
18044,0.41,1.07
18146,0.4,1
18245,0.4,1
18347,0.39,0.99
18449,0.39,0.97
18547,0.4,1.02
18650,0.4,1.04
18752,0.4,1.04
18851,0.41,1.05
18953,0.4,1.02
19052,0.4,1.04
19154,0.4,1.02
19256,0.41,1.05
19354,0.4,1.02
19457,0.4,1.04
19555,0.4,1
19657,0.39,0.97
19760,0.39,0.99
19859,0.39,0.99
19961,0.39,0.95
20063,0.4,1
20161,0.39,0.99
20264,0.4,1.02
20362,0.4,1.04
20464,0.4,1.04
20567,0.4,1.04
20665,0.4,1.02
20768,0.4,1
20870,0.4,1
20968,0.41,1.05
21071,0.41,1.05
21169,0.4,1.02
21271,0.39,0.99
21374,0.39,0.99
21472,0.39,0.97
21575,0.4,1.02
21673,0.4,1.02
21775,0.4,1.04
21877,0.4,1.04
21976,0.4,1.02
22078,0.4,1
22180,0.4,1.02
22279,0.4,1.04
22381,0.4,1
22480,0.4,1
22582,0.4,1
22684,0.4,1
22783,0.4,1.02
22885,0.4,1.02
22987,0.4,1.02
23086,0.4,1
23188,0.4,1
23287,0.4,1
23389,0.4,1.04
23492,0.4,1.02
23590,0.4,1.02
23692,0.4,1.02
23790,0.39,0.99
23893,0.4,1
23995,0.4,1.02
24098,0,-1.08
24196,0,-1.08
24298,0,-1.08
24396,0.03,-0.93
24499,0,-1.08
24601,0,-1.08
24699,0,-1.08
24802,0,-1.08
24904,0,-1.08
25003,0,-1.08
25105,0,-1.08
25203,0,-1.08
25306,0,-1.08
25408,0,-1.08
25506,0,-1.08
25609,0,-1.08
25707,0,-1.08
25810,0,-1.08
25912,0,-1.08
26010,0,-1.08
26112,0,-1.08
26215,0,-1.08
26313,0,-1.08
26416,0,-1.08
26514,0,-1.08
26616,0,-1.08
26719,0,-1.08
26817,0,-1.08
26919,0,-1.08
27018,0,-1.08
27120,0,-1.08
