Time [ms],Column 0,Column 1
545,0.42,1.1
576,0.41,1.09
607,0.41,1.09
688,0.41,1.09
790,0.42,1.1
893,0.41,1.09
991,0.41,1.07
1093,0.41,1.07
1192,0.41,1.09
1294,0.41,1.09
1396,0.41,1.09
1495,0.41,1.09
1597,0.41,1.05
1700,0.41,1.07
1798,0.42,1.12
1900,0.41,1.09
1998,0.41,1.09
2101,0.42,1.1
2203,0.41,1.07
2302,0.41,1.09
2404,0.41,1.09
2507,0.41,1.07
2605,0.41,1.07
2707,0.41,1.09
2805,0.41,1.07
2908,0.42,1.1
3010,0.42,1.12
3109,0.41,1.07
3211,0.41,1.09
3309,0.41,1.09
3412,0.41,1.07
3514,0.41,1.09
3613,0.41,1.09
3715,0.42,1.1
3817,0.41,1.09
3916,0.41,1.09
4018,0.42,1.1
4116,0.41,1.09
4218,0.42,1.1
4321,0.42,1.1
4419,0.41,1.09
4522,0.41,1.09
4624,0.41,1.07
4722,0.41,1.09
4825,0.41,1.07
4923,0.41,1.07
5026,0.41,1.07
5128,0.41,1.09
5226,0.41,1.09
5329,0.41,1.09
5431,0.41,1.09
5529,0.41,1.07
5632,0.41,1.09
5730,0.42,1.1
5832,0.41,1.09
5935,0.42,1.1
6033,0.41,1.09
6136,0.41,1.09
6234,0.41,1.09
6336,0.41,1.07
6439,0.41,1.09
6537,0.41,1.09
6639,0.42,1.1
6741,0.41,1.09
6840,0.41,1.09
6942,0.41,1.09
7041,0.42,1.1
7143,0.41,1.09
7245,0.42,1.1
7344,0.41,1.09
7446,0.41,1.09
7549,0.42,1.12
7647,0.42,1.1
7749,0.41,1.09
7847,0.41,1.07
7950,0.41,1.09
8052,0.41,1.09
8151,0.41,1.09
8253,0.41,1.09
8351,0.42,1.1
8453,0.41,1.09
8556,0.41,1.09
8654,0.41,1.09
8757,0.41,1.05
8859,0.41,1.09
8957,0.42,1.1
9060,0.41,1.09
9158,0.41,1.09
9261,0.42,1.14
9363,0.45,1.31
9461,0.78,3.04
9564,1.48,6.68
9666,1.04,4.39
9764,0.8,3.14
9866,0.78,3.02
9965,0.75,2.87
10068,0.74,2.82
10170,0.73,2.76
10268,0.73,2.76
10370,0.73,2.73
10473,0.73,2.75
10571,0.74,2.78
10674,0.72,2.68
10772,0.7,2.61
10874,0.73,2.73
10976,0.72,2.7
11075,0.33,0.66
11177,0.35,0.73
11280,0.49,1.48
11378,0.44,1.21
11481,0.42,1.1
11579,0.41,1.05
11681,0.4,1.02
11783,0.41,1.09
11882,0.41,1.07
11984,0.41,1.09
12082,0.4,1.04
12185,0.4,1.04
12287,0.39,0.97
12385,0.4,1
12488,0.4,1
12590,0.4,1
12689,0.4,1.04
12791,0.41,1.07
12889,0.4,1.02
12992,0.4,1.04
13094,0.41,1.07
13192,0.41,1.07
13295,0.4,1.04
13397,0.4,1.02
13495,0.4,1.02
13598,0.4,1.02
13697,0.4,1.02
13799,0.4,1.02
13901,0.4,1.04
13999,0.4,1.02
14102,0.4,1
14204,0.4,1.04
14302,0.4,1.02
14405,0.41,1.07
14503,0.4,1.04
14606,0.41,1.05
14708,0.4,1.04
14807,0.4,1.02
14909,0.41,1.05
15007,0.4,1.04
15109,0.4,1.04
15212,0.4,1.02
15310,0.4,1.04
15412,0.4,1.02
15515,0.4,1.02
15613,0.41,1.05
15716,0.4,1.02
15814,0.41,1.05
15916,0.41,1.05
16018,0.4,1.02
16117,0.41,1.05
16219,0.41,1.05
16322,0.41,1.05
16420,0.4,1.04
16522,0.4,1.02
16620,0.4,1.02
16723,0.4,1.04
16826,0.4,1.04
16924,0.4,1.04
17027,0.4,1.02
17125,0.4,1.04
17227,0.41,1.05
17329,0.41,1.05
17427,0.41,1.05
17530,0.41,1.05
17632,0.4,1.04
17730,0.4,1.04
17833,0.41,1.05
17932,0.4,1.04
18034,0.4,1.02
18136,0.4,1.02
18234,0.39,0.99
18337,0.4,1.02
18439,0.4,1.02
18537,0.4,1.04
18640,0.41,1.07
18738,0.4,1.02
18841,0.4,1.02
18943,0.41,1.07
19042,0.41,1.05
19143,0.41,1.05
19242,0.41,1.07
19344,0.4,1.04
19447,0.4,1.04
19545,0.4,1.02
19647,0.4,1.04
19750,0.4,1.04
19849,0.4,1.04
19951,0.4,1.02
20049,0.4,1
20151,0.4,1.04
20254,0.41,1.05
20352,0.4,1.04
20454,0.41,1.07
20557,0.4,1.04
20655,0.4,1.02
20758,0.4,1.04
20856,0.4,1.04
20958,0.4,1.04
21061,0.4,1.02
21159,0.4,1.02
21261,0.4,1.02
21364,0.4,1.02
21462,0.03,-0.94
21564,0.39,0.99
21663,0.39,0.99
21765,0.4,1
21868,0.39,0.99
21966,0.28,0.39
22068,0,-1.08
22171,0,-1.08
22269,0,-1.08
22371,0,-1.08
22473,0,-1.08
22572,0,-1.08
22674,0,-1.08
22773,0,-1.08
22875,0,-1.08
22977,0,-1.08
23076,0,-1.08
23178,0,-1.08
23276,0,-1.08
23379,0,-1.08
23481,0,-1.08
23579,0,-1.08
23682,0,-1.08
23784,0,-1.08
23883,0,-1.08
23985,0,-1.08
24083,0,-1.08
24185,0,-1.08
24288,0,-1.08
24386,0,-1.08
24489,0,-1.08
24587,0,-1.08
24690,0,-1.08
24792,0,-1.08
24890,0,-1.08
24993,0,-1.08
25095,0,-1.08
25193,0,-1.08
25295,0,-1.08
25394,0,-1.08
25496,0,-1.08
25599,0,-1.08
25697,0,-1.08
25799,0,-1.08
25897,0,-1.08
26000,0,-1.08
26102,0,-1.08
26201,0,-1.08
26303,0,-1.08
26406,0,-1.08
26504,0,-1.08
26606,0,-1.08
26705,0,-1.08
26807,0,-1.08
26909,0,-1.08
