D Time (seconds)	Pitot Pressure (PSIG)	Plenum Pressure (PSIG)	Tank Pressure (PSIG)			Pitot Pressure (Static Pressure) (PSIA)	Plenum Pressure(Total Pressure) (PSIA)	Tank Pressure (PSIA)	P/Po	Mach	A/A*	A* (in^2)	Average A*	Average Mach	Mach Angle	Pitot Pressure ()	Plenum Pressure 	Mach #	Mach Angle
0	0.625	-0.161	100.63	0.399		15.0989	14.5519	114.7859	1.037589593	#NUM!	#NUM!	#NUM!	3.854823892	3.36475077	#NUM!	14.9479	16.6909	0.400087535	#REF!
0.029	0.692	-0.144	100.09	0.403		15.1159	14.5349	114.9329	1.039972755	#NUM!	#NUM!	#NUM!	3.854725034	3.364634375	#NUM!	14.9479	16.6909	0.400087535	#REF!
0.059	0.65	-0.161	100.237	0.42		15.1079	14.5599	114.8349	1.037637621	#NUM!	#NUM!	#NUM!	3.854158299	3.364534392	#NUM!	14.9479	16.6909	0.400087535	#REF!
0.087	0.612	-0.136	100.139	0.412		15.0779	14.5519	115.1539	1.036146483	#NUM!	#NUM!	#NUM!	3.85349371	3.364883336	#NUM!	14.9479	16.6909	0.400087535	#REF!
0.117	0.612	-0.144	100.458	0.382		15.0649	14.5729	115.3009	1.033761297	#NUM!	#NUM!	#NUM!	3.852636844	3.364877603	#NUM!	14.9479	16.6909	0.400087535	#REF!
0.146	0.579	-0.123	100.605	0.369		15.0399	14.5689	114.9209	1.032329139	#NUM!	#NUM!	#NUM!	3.85296154	3.364973951	#NUM!	14.9479	16.6909	0.400087535	#REF!
0.176	0.654	-0.127	100.225	0.344		15.0989	14.5639	114.7859	1.036734666	#NUM!	#NUM!	#NUM!	3.853782273	3.365033172	#NUM!	14.9479	16.6909	0.400087535	#REF!
0.205	0.688	-0.132	100.09	0.403		15.0739	14.5899	114.8839	1.033173634	#NUM!	#NUM!	#NUM!	3.853731049	3.365124318	#NUM!	14.9479	16.6909	0.400087535	#REF!
0.234	0.617	-0.106	100.188	0.378		15.0989	14.5309	115.2639	1.039089114	#NUM!	#NUM!	#NUM!	3.853156925	3.365190372	#NUM!	14.9479	16.6909	0.400087535	#REF!
0.265	0.692	-0.165	100.568	0.403		15.0949	14.5139	115.7669	1.040030591	#NUM!	#NUM!	#NUM!	3.853035267	3.36527808	#NUM!	14.9479	16.6909	0.400087535	#REF!
0.294	0.65	-0.182	101.071	0.399		15.0609	14.5309	115.6929	1.036473997	#NUM!	#NUM!	#NUM!	3.852571004	3.365112334	#NUM!	14.9479	16.6909	0.400087535	#REF!
0.323	0.659	-0.165	100.997	0.365		15.0779	14.5859	114.7619	1.033731206	#NUM!	#NUM!	#NUM!	3.851872893	3.365244997	#NUM!	14.9479	16.6909	0.400087535	#REF!
0.351	0.654	-0.11	100.066	0.382		15.0399	14.5729	115.3619	1.032045784	#NUM!	#NUM!	#NUM!	3.851916286	3.365437412	#NUM!	14.9479	16.6909	0.400087535	#REF!
0.38	0.629	-0.123	100.666	0.344		15.0739	14.6029	114.3699	1.032253867	#NUM!	#NUM!	#NUM!	3.85186334	3.365305122	#NUM!	14.9479	16.6909	0.400087535	#REF!
0.41	0.617	-0.093	99.674	0.378		15.1159	14.5349	115.0799	1.039972755	#NUM!	#NUM!	#NUM!	3.851596258	3.365321889	#NUM!	14.9479	16.6909	0.400087535	#REF!
0.44	0.638	-0.161	100.384	0.42		15.0609	14.5469	115.5829	1.035333989	#NUM!	#NUM!	#NUM!	3.851771155	3.365356748	#NUM!	14.9479	16.6909	0.400087535	#REF!
0.469	0.604	-0.149	100.887	0.365		15.0569	14.6029	115.0929	1.031089715	#NUM!	#NUM!	#NUM!	3.85184693	3.365668516	#NUM!	14.9479	16.6909	0.400087535	#REF!
0.498	0.596	-0.093	100.397	0.361		15.0989	14.5519	114.7249	1.037589593	#NUM!	#NUM!	#NUM!	3.850652732	3.36570249	#NUM!	14.9479	16.6909	0.400087535	#REF!
0.526	0.692	-0.144	100.029	0.403		15.0739	14.5809	114.8109	1.033811356	#NUM!	#NUM!	#NUM!	3.850360142	3.365817727	#NUM!	14.9479	16.6909	0.400087535	#REF!
0.555	0.65	-0.115	100.115	0.378		15.0439	14.5729	115.4729	1.032320266	#NUM!	#NUM!	#NUM!	3.849397103	3.365722072	#NUM!	14.9479	16.6909	0.400087535	#REF!
0.584	0.608	-0.123	100.777	0.348		15.0649	14.5469	115.4969	1.035608961	#NUM!	#NUM!	#NUM!	3.849978402	3.365641008	#NUM!	14.9479	16.6909	0.400087535	#REF!
0.613	0.596	-0.149	100.801	0.369		15.0439	14.5809	114.8479	1.03175387	#NUM!	#NUM!	#NUM!	3.849130507	3.365821583	#NUM!	14.9479	16.6909	0.400087535	#REF!
0.642	0.629	-0.115	100.152	0.348		15.0819	14.5469	115.3379	1.036777595	#NUM!	#NUM!	#NUM!	3.848758988	3.32956324	#NUM!	14.9479	16.6909	0.400087535	#REF!
0.671	0.583	-0.149	100.642	0.386		15.0699	14.5689	115.1659	1.03438832	#NUM!	#NUM!	#NUM!	3.848941275	3.329111754	#NUM!	14.9479	16.6909	0.400087535	#REF!
0.699	0.596	-0.127	100.47	0.374		15.0699	14.5519	115.3989	1.035596726	#NUM!	#NUM!	#NUM!	3.848877904	3.328726306	#NUM!	14.9479	16.6909	0.400087535	#REF!
