Time [ms],Temperature [C]
298285,26.6
298383,26.6
298486,26.6
298588,26.6
298686,26.6
298788,26.6
298887,26.51
298989,26.6
299091,26.6
299190,26.6
299292,26.6
299390,26.6
299493,26.6
299591,26.6
299694,26.6
299796,26.6
299894,26.6
299997,26.6
300095,26.6
300198,26.69
300296,26.6
300399,26.69
300501,26.69
300599,26.69
300701,26.69
300800,26.69
300902,26.69
301000,26.69
301103,26.69
301205,26.69
301303,26.69
301406,26.69
301504,26.69
301607,26.69
301705,26.69
301807,26.69
301910,26.69
302008,26.69
302110,26.69
302209,26.69
302311,26.6
302409,26.6
302512,26.69
302614,26.69
302713,26.69
302816,26.69
302913,26.69
303016,26.69
303114,26.6
303216,26.69
303319,26.69
303418,26.69
303520,26.6
303618,26.6
303720,26.6
303819,26.6
303921,26.6
304023,26.6
304122,26.6
304224,26.69
304322,26.33
304425,26.42
304523,26.42
304626,26.51
304728,26.95
304826,27.04
304929,27.22
305027,27.4
305129,27.67
305228,28.03
305330,28.66
305432,28.84
305531,29.2
305634,29.66
305731,29.93
305834,30.2
305932,30.57
306035,30.57
306137,30.94
306235,31.22
306338,31.49
306436,31.59
306538,31.87
306637,32.15
306739,32.15
306842,32.52
306940,32.52
307042,32.71
307141,32.8
307243,33.18
307341,33.18
307444,33.37
307547,33.56
307644,33.75
307747,33.85
307845,34.13
307948,33.94
308046,34.13
308148,34.13
308251,34.13
308349,34.42
308451,34.42
308550,34.52
308652,34.52
308755,34.52
308853,34.61
308955,34.71
309054,34.81
309156,34.81
309254,34.81
309357,35
309459,35
309557,35.1
309660,35.19
309758,35.19
309860,35.39
309959,35.19
310061,35.68
310164,35.49
310262,35.49
310364,35.49
310463,35.88
310565,35.58
310663,35.39
310766,35.68
310868,35.68
310966,35.68
311069,35.88
311167,35.58
311270,35.49
311368,35.78
311471,35.68
311573,35.68
311671,35.58
311773,35.68
311872,35.88
311974,35.68
312072,35.78
312175,35.97
312278,36.07
312376,35.97
312478,35.97
312576,35.97
312679,36.07
312778,35.88
312879,36.07
312982,35.97
313080,36.17
313183,35.97
313281,36.17
313384,35.78
313482,35.97
313584,35.78
313687,36.37
313785,35.88
313887,35.97
313985,35.97
314088,35.49
314186,35.97
314288,36.17
314391,36.07
314489,36.07
314591,36.27
314690,35.97
314792,36.27
314891,36.17
314993,36.27
315096,36.77
315194,36.27
315297,36.47
315395,36.17
315497,36.37
315595,36.27
315698,36.27
315800,36.27
315898,36.37
316001,36.27
316099,36.27
316202,36.27
316300,36.17
316402,36.27
316505,36.17
316603,36.27
316705,36.27
316804,36.17
316906,36.27
317005,36.27
317107,36.37
317209,36.27
317307,36.47
317410,36.37
317508,36.47
317611,36.47
317709,36.37
317811,36.07
317914,36.47
318012,36.37
318114,36.27
318213,36.27
318315,36.17
318414,36.37
318516,36.27
318618,36.27
318717,36.17
318819,36.37
318917,36.37
319020,36.27
319119,36.17
319220,36.37
319323,36.47
319421,36.37
319523,36.47
319622,36.47
319724,36.37
319823,36.37
319925,36.47
320027,36.27
320126,36.27
320228,36.27
320327,36.17
320429,36.07
320527,35.97
320630,35.88
320732,35.78
320830,35.68
320933,35.58
321031,35.49
321133,35.29
321232,35.19
321334,35.19
321437,35
321535,35
321638,34.9
321736,34.81
321838,34.71
321936,34.61
322038,34.52
322141,34.42
322239,34.32
322342,34.23
322440,34.13
322542,34.04
322645,33.94
322743,33.85
322845,33.75
322944,33.65
323046,33.56
323145,33.46
323247,33.37
323349,33.28
323448,33.18
323550,33.18
323648,33.09
323751,32.99
323849,32.9
323951,32.8
324054,32.71
324152,32.71
324255,32.61
324353,32.52
324456,32.43
324554,32.43
324656,32.33
324759,32.33
324857,32.24
324959,32.15
325058,32.15
325160,32.05
325258,31.96
325361,31.96
325463,31.87
325561,31.87
325664,31.77
325762,31.77
325864,31.68
325963,31.59
326065,31.59
326168,31.49
326266,31.49
326369,31.4
326467,31.31
326569,31.22
326667,31.22
326770,31.12
326872,31.12
326971,31.03
327073,31.03
327171,30.94
327274,30.85
327372,30.85
327474,30.85
327577,30.75
327675,30.66
327777,30.66
327876,30.57
327978,30.57
328076,30.48
328179,30.48
328281,30.39
328380,30.39
328482,30.29
328580,30.2
328683,30.2
328782,30.11
328883,30.11
328986,30.02
329084,30.02
329187,30.02
329285,29.93
329387,29.84
329486,29.84
329588,29.84
329690,29.75
329789,29.66
329891,29.75
329989,29.66
330092,29.66
330190,29.66
330292,29.56
330395,29.47
330493,29.47
330596,29.47
330694,29.38
330797,29.38
330895,29.29
330997,29.29
331099,29.29
331198,29.2
331300,29.2
331399,29.2
331501,29.11
331599,29.11
331702,29.11
331804,29.02
331902,29.02
332005,29.02
332104,28.93
332206,28.93
332304,28.84
332406,28.84
332509,28.75
332607,28.75
332709,28.75
332808,28.75
332910,28.66
333008,28.66
333111,28.66
333213,28.66
333311,28.66
333414,28.57
333512,28.48
333615,28.57
333713,28.48
333815,28.48
333918,28.48
334016,28.48
334118,28.39
334217,28.39
334319,28.39
334417,28.39
334520,28.3
334622,28.3
334721,28.3
334823,28.3
334921,28.3
335024,28.21
335122,28.21
335224,28.12
335327,28.21
335425,28.12
335528,28.12
335626,28.12
335729,28.12
335827,28.12
335929,28.03
336031,28.03
336130,28.03
336232,28.03
336330,28.03
336433,28.03
336532,28.03
336633,28.03
336736,27.94
336835,27.94
336937,27.94
337035,27.94
337137,27.94
337236,27.94
337338,27.94
337440,27.94
337539,27.85
337641,27.85
337739,27.85
337842,27.85
337940,27.85
338043,27.76
338145,27.76
338244,27.76
338346,27.67
338445,27.76
338546,27.76
338645,27.67
338748,27.67
338850,27.67
338948,27.67
339051,27.67
339149,27.67
339251,27.58
339349,27.67
339452,27.67
339554,27.67
339652,27.67
339755,27.67
339853,27.67
339956,27.58
340054,27.58
340156,27.58
340259,27.58
340357,27.58
340459,27.49
340558,27.49
340660,27.49
340758,27.49
340861,27.49
340963,27.4
341062,27.49
341164,27.49
341263,27.49
341365,27.4
341463,27.4
341566,27.4
341668,27.4
341767,27.4
341868,27.31
341967,27.4
342069,27.4
342168,27.31
342270,27.4
342372,27.31
342471,27.31
342573,27.31
342671,27.31
342774,27.31
342872,27.31
342974,27.31
343077,27.31
343175,27.31
343277,27.31
343376,27.31
343478,27.31
343577,27.31
343679,27.22
343781,27.22
343880,27.22
343982,27.22
344081,27.22
344183,27.22
344282,27.22
344384,27.22
344486,27.13
344584,27.22
344687,27.22
344785,27.13
344887,27.22
344986,27.13
345088,27.13
345191,27.13
345289,27.13
345391,27.13
345490,27.13
345592,27.13
345690,27.13
345793,27.13
345895,27.04
345993,27.04
346096,27.04
346194,26.95
346297,27.04
346395,26.95
346497,27.04
346600,26.95
346698,27.04
346800,26.95
346899,26.95
347001,26.95
347100,26.95
347202,26.95
347304,26.95
347402,26.95
347505,26.95
347603,26.95
347706,26.86
347808,26.86
347906,26.86
348009,26.86
348107,26.86
348209,26.86
348308,26.86
348411,26.86
348512,26.86
348611,26.86
348713,26.86
348812,26.86
348914,26.86
349012,26.86
349115,26.86
349217,26.86
349316,26.86
349418,26.86
349517,26.86
349619,26.86
349717,26.86
349820,26.77
349922,26.86
350020,26.86
350122,26.86
350221,26.77
350323,26.77
350421,26.77
350524,26.77
350626,26.77
350725,26.77
350827,26.77
350925,26.77
351028,26.77
351126,26.77
351229,26.77
351331,26.77
351429,26.77
351531,26.77
351630,26.77
351732,26.77
351831,26.69
351933,26.69
352035,26.69
352134,26.69
352236,26.69
352334,26.69
352437,26.69
352536,26.69
352638,26.77
352740,26.69
352838,26.69
352941,26.69
353039,26.69
353141,26.69
353240,26.69
353342,26.69
353445,26.69
353543,26.69
353645,26.69
353744,26.69
353846,26.69
353945,26.77
354046,26.77
354150,26.69
354247,26.69
