Time [ms],Column 0
86210,26.6
86313,26.6
86411,26.6
86513,26.6
86612,26.6
86714,26.6
86817,26.6
86915,26.6
87017,26.6
87115,26.6
87218,26.6
87316,26.6
87419,26.6
87521,26.6
87619,26.6
87722,26.6
87820,26.51
87922,26.6
88021,26.6
88123,26.6
88226,26.6
88324,26.6
88427,26.6
88525,26.6
88627,26.6
88729,26.6
88828,26.6
88930,26.69
89028,26.6
89131,26.6
89229,26.6
89332,26.6
89434,26.6
89533,26.69
89635,26.69
89733,26.69
89835,26.77
89934,26.69
90037,26.77
90138,26.77
90238,26.77
90339,26.77
90438,26.77
90540,26.77
90638,26.77
90741,26.86
90843,26.86
90942,26.95
91044,27.04
91142,27.31
91244,27.49
91343,27.94
91445,28.12
91548,28.39
91646,28.66
91748,28.84
91847,29.11
91949,29.29
92048,29.56
92150,29.56
92252,29.75
92350,29.93
92453,30.02
92551,30.11
92654,30.29
92753,30.29
92855,30.39
92957,30.48
93055,30.57
93157,30.66
93256,30.66
93359,30.94
93457,30.75
93559,31.03
93661,30.94
93760,31.12
93862,31.22
93960,31.22
94063,31.31
94161,31.31
94264,31.49
94366,31.68
94464,31.68
94567,31.59
94665,31.68
94767,31.68
94866,31.77
94968,31.68
95070,31.87
95169,31.77
95271,31.68
95369,31.87
95472,31.77
95571,31.87
95673,31.87
95775,31.87
95873,31.96
95976,31.96
96074,31.96
96176,32.05
96275,31.87
96377,32.05
96479,32.05
96578,32.15
96680,32.24
96778,32.15
96881,32.24
96979,32.24
97082,32.33
97184,32.33
97282,32.33
97385,32.33
97483,32.43
97585,32.52
97684,32.33
97786,32.43
97889,32.43
97987,32.43
98089,32.43
98188,32.43
98290,32.33
98388,32.52
98491,32.43
98593,32.43
98691,32.43
98794,32.33
98892,32.43
98994,32.43
99093,32.43
99195,32.43
99298,32.43
99396,32.52
99499,32.52
99597,32.52
99700,32.52
99797,32.61
99900,32.61
100002,32.71
100101,32.71
100203,32.71
100301,32.71
100404,32.61
100502,32.71
100604,32.71
100707,32.61
100805,32.61
100908,32.52
101006,32.61
101108,32.71
101206,32.61
101309,32.71
101411,32.52
101510,32.52
101612,32.61
101710,32.61
101813,32.52
101911,32.61
102014,32.61
102116,32.52
102214,32.61
102317,32.71
102415,32.8
102517,32.71
102616,32.61
102719,32.8
102820,32.71
102919,32.71
103022,32.8
103119,32.71
103222,32.71
103321,32.71
103423,32.71
103525,32.71
103624,32.71
103726,32.71
103824,32.71
103926,32.52
104025,32.61
104127,32.61
104229,32.52
104328,32.52
104430,32.52
104528,32.61
104631,32.52
104729,32.52
104832,32.52
104935,32.61
105032,32.61
105135,32.61
105233,32.8
105336,32.71
105434,32.61
105536,32.71
105639,32.71
105737,32.71
105839,32.52
105938,32.71
106040,32.71
106139,32.71
106241,32.8
106343,32.71
106442,32.71
106544,32.71
106642,32.71
106745,32.71
106843,32.61
106945,32.61
107048,32.61
107146,32.52
107249,32.61
107347,32.52
107449,32.71
107548,32.61
107650,32.71
107753,32.71
107851,32.71
107958,32.61
108051,32.71
108154,32.71
108252,32.9
108354,32.8
108457,32.71
108555,32.71
108658,32.71
108756,32.8
108859,32.71
108957,32.71
109059,32.61
109161,32.71
109260,32.8
109362,32.52
