Time [ms],Column 0,Column 1,Column 2,Column 3,Column 4
597,11.27,10.88,10.63,10.35,10.1
703,11.29,11.37,11.42,11.48,11.54
810,11.31,11.37,11.44,11.49,11.54
912,11.29,11.27,11.27,11.27,11.27
1019,11.31,11.37,11.44,11.49,11.54
1125,11.29,11.24,11.22,11.2,11.17
1228,11.15,10.8,10.56,10.32,10.08
1334,11.19,11.31,11.39,11.46,11.54
1437,11,10.52,10.22,9.91,9.61
1543,11.02,11.08,11.14,11.19,11.24
1650,11.02,11.05,11.08,11.12,11.15
1757,10.98,10.91,10.86,10.81,10.78
1858,10.93,10.8,10.71,10.63,10.54
1965,10.76,10.32,10.05,9.76,9.47
2071,10.73,10.66,10.61,10.56,10.52
2174,10.66,10.49,10.37,10.25,10.15
2280,10.54,10.22,10,9.78,9.57
2387,10.49,10.39,10.32,10.25,10.18
2490,10.37,10.06,9.88,9.67,9.47
2596,10.37,10.4,10.44,10.46,10.49
2702,10.34,10.29,10.25,10.22,10.18
2805,10.32,10.3,10.3,10.3,10.3
2911,10.34,10.4,10.46,10.49,10.54
3018,10.32,10.29,10.27,10.23,10.22
3124,10.42,10.69,10.88,11.05,11.24
3226,10.49,10.66,10.8,10.91,11.03
3333,10.54,10.71,10.83,10.93,11.05
3439,10.61,10.81,10.95,11.08,11.22
3542,10.69,10.95,11.12,11.29,11.46
3649,10.78,11.02,11.17,11.32,11.49
3755,10.86,11.12,11.31,11.49,11.66
3857,10.93,11.12,11.24,11.36,11.49
3964,11.08,11.49,11.78,12.05,12.33
4070,11.15,11.34,11.48,11.61,11.75
4177,11.31,11.75,12.05,12.36,12.67
4279,11.44,11.82,12.07,12.31,12.56
4386,11.58,11.95,12.22,12.48,12.73
4492,11.7,12.05,12.31,12.56,12.8
4594,11.78,12.04,12.21,12.38,12.55
4701,11.92,12.31,12.58,12.84,13.11
4807,12.07,12.5,12.78,13.07,13.36
4914,12.17,12.44,12.65,12.84,13.02
5017,12.31,12.72,13.01,13.28,13.55
5123,12.41,12.72,12.94,13.16,13.36
5229,12.56,13.01,13.31,13.6,13.91
5332,12.72,13.18,13.48,13.79,14.09
5438,12.89,13.36,13.7,14.03,14.35
5545,13.06,13.55,13.87,14.2,14.54
5652,13.18,13.53,13.77,14.01,14.25
5754,13.35,13.82,14.14,14.47,14.79
5860,13.52,13.99,14.31,14.64,14.96
5967,13.69,14.14,14.47,14.77,15.08
6073,13.84,14.3,14.6,14.91,15.22
6175,14.04,14.6,14.99,15.39,15.76
6282,14.16,14.48,14.71,14.91,15.13
6389,14.37,14.93,15.3,15.67,16.05
6495,14.47,14.77,14.99,15.22,15.42
6597,14.67,15.23,15.61,15.98,16.35
6704,14.88,15.42,15.79,16.17,16.54
6810,15.03,15.45,15.76,16.05,16.34
6917,15.2,15.66,15.96,16.27,16.57
7023,15.37,15.84,16.17,16.47,16.8
7126,15.54,16.01,16.34,16.66,16.98
7232,15.66,16.01,16.25,16.49,16.73
7339,15.86,16.44,16.83,17.2,17.6
7445,16.01,16.44,16.73,17,17.29
7548,16.17,16.57,16.86,17.14,17.41
7655,16.35,16.86,17.22,17.56,17.9
7760,16.52,17.02,17.36,17.7,18.04
7867,16.69,17.19,17.53,17.87,18.21
7974,16.81,17.17,17.43,17.66,17.9
8076,16.93,17.29,17.54,17.78,18.02
8183,17.05,17.39,17.63,17.85,18.09
8289,17.17,17.49,17.71,17.92,18.14
8395,17.32,17.78,18.09,18.39,18.7
8502,17.44,17.75,17.97,18.19,18.39
8604,17.54,17.85,18.07,18.29,18.5
8711,17.7,18.14,18.45,18.75,19.06
8817,17.85,18.31,18.62,18.92,19.23
8924,17.97,18.29,18.53,18.75,18.97
9030,18.09,18.41,18.65,18.87,19.09
9133,18.19,18.5,18.7,18.9,19.11
9239,18.31,18.65,18.87,19.09,19.33
9346,18.46,18.92,19.23,19.53,19.84
9452,18.58,18.9,19.13,19.35,19.57
9559,18.65,18.87,19.02,19.16,19.31
9661,18.82,19.28,19.6,19.92,20.23
9767,18.99,19.45,19.75,20.06,20.37
