Time [ms],Column 0
28,7
44,7.75
76,7.77
92,7.72
108,7.75
124,7.72
156,7.7
171,7.74
188,7.7
204,7.74
220,7.75
235,7.72
251,7.75
267,7.72
283,7.75
299,7.77
315,7.72
331,7.75
346,7.77
363,7.72
378,7.75
394,7.72
410,7.75
426,7.77
442,7.72
460,7.75
567,7.72
670,7.7
771,7.74
874,7.7
976,7.74
1079,7.75
1185,7.72
1287,7.75
1390,7.72
1492,7.7
1595,7.74
1698,7.7
1804,7.74
1907,7.75
2008,7.72
2111,7.75
2213,7.72
2320,7.75
2422,7.77
2525,7.72
2627,7.75
2729,7.77
2832,7.72
2938,7.75
3041,7.72
3143,7.75
3246,7.77
3348,7.72
3450,7.75
3557,7.72
3659,7.7
3762,7.74
3864,7.7
3966,7.74
4069,7.75
4175,7.72
4278,7.75
4380,7.72
4482,7.7
4585,7.74
4691,7.7
4794,7.74
4896,7.75
4998,7.72
5101,7.75
5203,7.72
5310,7.75
5412,7.77
5514,7.72
5617,7.75
5719,7.77
5822,7.72
5928,7.75
6031,7.72
6133,7.75
6236,7.77
6338,7.72
6440,7.75
6547,7.72
6649,7.7
6752,7.74
6854,7.7
6956,7.74
7063,7.75
7166,7.72
7268,7.75
7370,7.72
7472,7.7
7575,7.74
7681,7.7
7784,7.74
7886,7.75
7988,7.72
8091,7.75
8193,7.72
8300,7.75
8402,7.77
8504,7.72
8607,7.75
8709,7.77
8812,7.72
8918,7.75
9021,7.72
9123,7.75
9225,7.77
9328,7.72
9430,7.75
9537,7.74
9639,7.7
9741,7.74
9844,7.7
9946,7.74
10053,7.75
10155,7.72
10258,7.75
10360,7.72
10463,7.7
10565,7.74
10671,7.7
10773,7.74
10876,7.75
10979,7.72
11081,7.75
11183,7.72
11290,7.75
11392,7.77
11494,7.72
11597,7.75
11700,7.77
11802,7.72
11908,7.75
12010,7.72
12113,7.75
12216,7.77
12318,7.72
12424,7.75
