Time [ms],Distance [cm]
29,10.15
44,10.57
60,10.46
76,10.47
92,10
187,10.01
290,10.46
388,10.12
491,10.12
593,10.46
695,10.06
798,10.47
897,10.06
998,10.05
1101,10.17
1203,10.15
1306,10.17
1404,10.05
1506,10.06
1609,10.05
1711,10.47
1809,10.17
1912,10.57
2014,10.17
2117,10.05
2219,10.06
2317,10.47
2420,10.06
2522,10.47
2624,10.15
2723,10.17
2825,10.17
2927,10.01
3030,10.06
3132,10.06
3231,10
3333,10.17
3435,10.15
3538,10.17
3637,10.06
3738,10.05
3841,10.47
3943,10.05
4046,10.05
4144,10.17
4246,10.17
4349,10.17
4451,10.05
4549,10.47
4653,10.47
4755,10.05
4857,10.57
4959,10.57
5058,10.17
5160,10.05
5262,10.05
5365,10.05
5463,10.05
5565,10.15
5668,10.17
5770,10.15
5872,10.06
5971,10.47
6073,10.06
6175,10.05
6278,10.47
6380,10.17
6479,10.57
6581,10.17
6683,10.06
6786,10.06
6884,10.06
6986,10.47
7089,10.17
7191,10.17
7294,10.17
7392,10.05
7494,10.05
7597,10.06
7699,10.06
7798,10.06
7900,10.17
8002,10.15
8105,10.17
8207,10.06
8305,10.05
8408,10.05
8510,10.06
8613,10.05
8711,10.17
8813,10.17
8916,10.17
9018,10.06
9121,10.05
9219,10.06
9321,10.06
9423,10.17
9526,10.15
9624,10.57
9727,10.06
9829,10.06
9931,10.05
10034,10.06
10132,10.47
10234,10.17
10337,10.17
10439,10.57
10538,10.06
10640,10.05
10742,10.06
10845,10.05
10947,10.15
11046,10.17
11148,10.17
11250,10.06
11353,10.06
11451,10.06
11554,10.06
11656,10.47
11758,10.17
11861,10.57
11959,10.17
12061,10.05
12164,10.05
12266,10.05
12364,10.05
12467,10.13
12569,10.17
12672,10.17
12774,10.17
12873,10.06
12975,10.06
13077,10.06
13179,10.06
13278,10.17
13380,10.17
13483,10.17
13585,10.06
13687,10.06
13786,10.06
