Time [ms],Distance [cm]
46,9.81
62,9.81
78,9.86
94,9.79
110,10.22
142,9.79
158,9.91
174,9.81
190,9.79
206,10.22
222,10.32
238,9.81
254,10.22
269,9.91
285,9.91
317,10.22
349,9.81
381,10.32
412,10.32
428,10.22
460,10.22
476,10.32
492,9.91
508,10.22
523,9.81
539,9.91
555,9.89
571,9.81
587,9.81
603,9.91
619,9.91
650,9.81
665,9.81
681,10.32
697,10.32
728,9.81
760,9.79
776,9.91
807,9.91
839,10.22
855,9.81
871,9.91
903,9.89
919,10.22
935,10.22
967,9.91
983,9.81
999,9.81
1015,9.81
1031,10.34
1046,10.22
1063,10.22
1079,10.22
1111,9.86
1127,9.81
1159,10.22
1175,10.32
1191,9.91
1207,9.81
1239,9.79
1255,9.91
1271,9.91
1287,9.79
1303,10.22
1319,9.91
1351,9.91
1367,9.79
1382,9.81
1398,9.91
1414,9.91
1431,9.79
1446,9.79
1462,9.91
1479,10.34
1495,10.22
1510,10.22
1527,10.32
1543,9.91
1559,9.79
1575,9.81
1591,10.32
1607,9.91
1623,9.81
1639,9.79
1671,9.91
1687,9.91
1703,9.81
1719,9.81
1735,9.91
1751,9.91
1767,9.79
1783,9.81
1799,10.32
1815,10.32
1830,10.22
1846,9.81
1862,10.32
1878,9.81
1894,9.81
1910,9.81
1926,9.91
1942,9.81
1958,9.81
1990,9.81
2022,9.91
2038,9.81
2054,9.81
2070,10.22
2085,9.91
2102,10.22
2118,10.23
2133,9.81
2165,9.91
2197,9.81
2214,9.81
2229,9.81
2245,9.91
2277,9.81
2293,9.81
2309,9.81
2325,9.91
2342,9.81
2373,9.81
2389,9.81
2405,9.89
2421,9.81
2453,9.81
2469,9.81
2485,9.91
2501,9.79
2517,9.81
2533,9.81
2549,9.91
2565,9.81
2581,9.81
2597,9.81
2613,9.91
2645,9.81
2661,9.81
2677,9.79
2693,9.91
2709,10.22
2725,9.81
2741,9.91
2757,9.91
2773,9.81
2789,9.79
2805,9.91
2821,9.91
2837,9.79
2853,9.81
2885,9.91
2917,9.91
2933,9.81
2949,9.81
2965,9.91
2981,9.89
2997,9.81
3013,9.81
3029,9.91
3045,9.91
3061,9.81
3093,9.79
3124,9.89
3156,9.89
3172,9.79
3204,9.79
3220,9.88
3236,9.91
3268,9.81
3300,9.79
3331,10.32
3347,9.91
3379,9.81
3395,9.81
3426,9.89
3442,9.91
3458,9.81
3474,9.81
3490,9.91
3507,9.91
3539,9.81
3554,9.81
3570,10.32
3602,9.91
3632,9.81
3648,9.79
3664,9.91
3696,9.89
3727,9.81
3743,9.79
3759,9.91
3775,9.89
3791,9.79
3823,9.81
3839,9.91
3871,9.91
3887,10.22
3903,10.22
3919,10.32
3935,10.32
3966,9.81
3982,9.79
3998,9.91
4030,10.32
4046,9.81
4062,9.81
4078,10.32
4094,10.32
4126,9.81
4158,10.22
4173,9.91
4190,9.91
4222,10.22
4237,10.22
4253,9.91
4269,9.81
4301,9.81
4317,10.22
4333,10.32
4349,9.81
4381,9.81
4396,9.81
4428,9.91
4444,9.81
4460,9.79
4476,9.79
4492,9.91
4523,9.81
4555,9.81
4571,9.81
4603,9.91
4619,9.79
4651,9.81
4667,9.81
4699,9.91
4715,9.81
4747,9.81
4763,9.81
4794,9.91
4826,9.81
4841,10.22
4857,9.81
4873,9.91
4888,9.81
4904,9.79
4920,9.81
4936,9.91
4952,9.81
4984,9.81
5000,9.81
5031,9.89
5063,9.81
5079,9.81
5095,9.81
5111,9.91
5127,9.81
5143,9.79
5159,9.81
5174,9.91
5190,9.79
5206,10.23
5237,9.88
5254,9.91
5270,9.81
5286,10.22
5302,10.32
5318,9.91
5334,9.81
5349,9.81
5365,9.89
5381,9.91
5413,9.81
5429,9.79
5461,9.91
5477,9.91
5509,9.81
5525,9.81
5541,9.91
5557,10.32
5573,9.81
5589,10.23
5604,9.91
5621,9.91
5636,9.81
5652,9.79
5669,9.91
5685,9.91
5701,9.81
5732,9.81
5748,9.91
5764,10.32
5796,9.81
5812,9.81
5828,9.91
5844,9.91
5860,9.79
5891,9.81
5907,9.91
5939,10.32
5955,9.79
5986,9.81
6002,9.91
6018,9.91
6034,10.22
6050,10.22
6066,9.91
