Time [ms],Column 0
32,5.63
48,5.63
64,5.63
80,5.63
96,5.63
112,5.63
128,5.63
144,5.63
160,5.63
176,5.63
192,5.63
244,5.59
293,5.56
346,5.54
395,5.54
449,5.54
498,5.54
551,5.54
601,5.54
653,5.54
702,5.59
756,5.61
805,5.63
858,5.63
907,5.63
960,5.63
1010,5.63
1063,5.63
1113,5.63
1165,5.63
1214,5.63
1268,5.63
1321,5.63
1370,5.63
1423,5.63
1472,5.63
1526,5.58
1575,5.56
1628,5.54
1677,5.54
1731,5.54
1780,5.54
1833,5.54
1882,5.54
1935,5.54
1985,5.59
2038,5.63
2087,5.63
2140,5.63
2190,5.63
2243,5.63
2292,5.63
2345,5.63
2394,5.63
2447,5.63
2497,5.87
2550,5.78
2599,5.76
2652,5.98
2701,6.29
2754,6.48
2804,6.39
2857,6.61
2907,6.78
2960,7.11
3009,7.74
3062,8.45
3115,8.64
3165,8.55
3217,11.24
3271,10.93
3320,11.08
3373,11.76
3422,13.02
3475,13.53
3529,13.24
3578,12.9
3631,12.6
3685,12.22
3734,14.42
3787,16.2
3840,16.32
3890,14.38
3942,12.75
3991,12.24
4045,11.76
4098,11.32
4147,10.97
4201,10.76
4250,10.3
4303,10.05
4352,9.95
4405,10.2
4458,10.15
4508,9.89
4561,9.64
4610,9.33
4663,9.38
4713,9.44
4766,9.78
4815,9.76
4868,9.52
4921,9.42
4970,9.45
5024,9.5
5073,9.49
5126,9.52
5175,9.61
5228,9.66
5278,9.47
5331,9.4
5384,9.44
5433,9.44
5486,9.69
5536,9.89
5589,9.83
5638,9.76
5691,9.76
5744,9.59
5794,9.74
5847,9.79
5896,9.88
5950,10.17
6003,10.29
6052,10.2
6105,10.18
6154,10.15
6207,10.2
6261,10.03
6310,9.91
6363,10.1
6412,10.29
6465,10.35
6519,10.46
6568,10.49
6621,10.52
6670,10.63
6724,10.4
6773,10.32
6826,10.57
6880,10.68
6929,10.81
6982,10.86
7031,10.71
7084,10.71
7137,10.66
7186,10.66
7240,10.97
7289,11.07
7343,11.2
7395,11.24
7444,11.29
7498,11.19
7547,11.1
7601,11.14
7653,11.34
7702,11.46
7756,11.54
7805,11.61
7858,11.73
7911,11.76
7960,11.63
8014,11.73
8063,11.58
8116,11.53
8169,11.75
8218,11.93
8272,11.99
8325,12.09
8375,12.12
8428,12
8477,11.92
8530,11.88
8583,11.88
8632,11.88
8685,12.14
8735,12.29
8788,12.44
8841,12.5
8890,12.41
8943,12.33
8993,12.38
9046,12.36
9099,12.65
9148,12.77
9201,12.87
9255,12.89
9304,12.99
9358,13.01
9407,12.89
9460,12.8
9513,12.84
9562,13.06
9615,13.24
9668,13.31
9718,13.21
9771,13.14
9824,13.16
9873,13.18
9926,13.43
9976,13.58
10029,13.67
10082,13.74
10131,13.58
10184,13.58
10238,13.57
10287,13.62
10340,13.84
10389,13.97
10442,14.06
10496,14.13
10545,14.2
10598,14.25
10651,14.35
10701,14.14
10754,14.08
10807,14.06
10856,14.28
10909,14.45
10963,14.54
11012,14.59
11065,14.45
11118,14.6
11168,14.76
11221,14.81
11270,14.64
11324,14.81
11376,14.93
11426,15.05
11479,14.88
11532,14.82
11581,15.03
11634,14.93
11688,14.89
11737,15.11
11790,15.25
11843,15.4
11892,15.44
11946,15.5
11999,15.39
12048,15.3
12101,15.28
12155,15.3
12204,15.56
12257,15.71
12311,15.59
12360,15.56
