Time [ms],Column 0
33,5.75
65,5.75
97,5.75
128,5.75
160,5.76
176,5.75
208,5.75
240,5.75
271,5.75
304,5.75
336,5.75
367,5.75
399,5.76
431,5.75
462,5.75
495,5.75
511,5.75
542,5.75
574,5.75
606,5.75
638,5.76
669,5.75
701,5.75
733,5.75
764,5.75
796,5.75
827,5.75
860,5.75
892,5.75
924,5.66
955,5.64
987,5.64
1019,5.64
1051,5.64
1083,5.64
1115,5.64
1147,5.64
1179,5.64
1211,5.64
1242,5.64
1274,5.75
1307,5.75
1339,5.75
1370,5.75
1402,5.75
1433,5.75
1465,5.75
1497,5.75
1529,5.75
1561,5.75
1592,5.76
1624,5.75
1656,5.75
1687,5.75
1719,5.75
1751,5.75
1783,5.76
1815,5.75
1846,5.75
1878,5.75
1910,5.64
1941,5.64
1973,5.64
2005,5.64
2037,5.64
2068,5.66
2100,5.64
2132,5.64
2164,5.64
2196,5.64
2240,5.71
2293,6.21
2342,6.22
2395,6.73
2444,7.19
2497,7.24
2547,6.43
2600,6.46
2649,6.41
2703,7.34
2751,8.26
2805,8.87
2854,9.4
2907,14.67
2961,12.41
3013,12.87
3063,13.55
3116,13.12
3165,12.46
3218,12.48
3272,12.56
3321,13.09
3374,15.74
3427,15.15
3476,11.19
3529,11.19
3579,11.39
3632,10.52
3681,9.74
3735,9.89
3788,10.01
3837,10.83
3890,10.06
3940,9.4
3992,9.33
4042,9.38
4095,10.01
4148,10.1
4197,9.66
4250,9.3
4300,9.45
4353,9.5
4402,9.91
4455,9.96
4508,10.12
4558,9.66
4611,9.3
4660,9.44
4713,9.49
4762,9.89
4816,9.95
4869,10.12
4919,10.1
4967,9.69
5021,9.84
5074,9.91
5123,10.27
5176,10.32
5229,10.47
5279,10.42
5332,10.05
5381,10.27
5434,10.2
5487,10.25
5536,10.88
5590,10.88
5639,10.63
5692,10.27
5741,10.2
5795,10.83
5848,11.24
5897,10.88
5950,11.08
5999,10.63
6053,10.68
6106,11.29
6155,11.24
6208,11.39
6257,10.93
6311,10.97
6364,11.59
6413,11.08
6466,11.7
6516,11.65
6569,11.7
6622,11.85
6671,11.39
6724,11.54
6774,11.49
6827,11.95
6880,12
6929,12.05
6983,12.26
7032,11.8
7085,11.95
7138,11.9
7187,12.41
7240,12.94
7290,12.56
7343,12.22
7396,12.26
7445,12.31
7498,12.84
7552,12.87
7601,12.99
7654,12.73
7703,12.68
7756,13.29
7810,13.24
7859,13.35
7912,13.38
7965,13.48
8015,13.12
8068,13.19
8117,13.69
8170,13.75
8224,13.84
8273,13.5
8326,13.58
8379,14.04
8428,14.26
8481,14.21
8535,14.37
8584,14.37
8637,13.96
8686,14.06
8740,14.57
8793,14.72
8842,14.72
8895,14.38
8948,14.42
8998,14.52
9051,15.03
9104,15.08
9153,14.77
9206,14.82
9260,14.93
9309,15.44
9362,15.08
9415,15.59
9465,15.66
9518,15.28
9571,15.81
9621,15.86
9674,15.96
9722,15.59
9776,15.71
9829,15.74
9878,16.27
9931,16.32
9985,16.42
10034,16.06
10088,16.12
10140,16.15
10193,16.66
10243,16.71
10296,16.73
10349,16.37
10398,16.46
10452,16.52
10505,17.02
10554,17.07
10607,17.14
10660,17.24
10710,16.88
10763,17
10816,17.39
10865,17.49
10919,17.14
10972,17.24
11021,17.29
11074,17.8
11128,17.43
11177,17.8
11230,18
11283,17.65
11337,17.68
11386,17.7
11439,17.73
11492,18.21
11541,17.83
11595,18.31
11648,18.28
11697,18.41
11751,18.43
11803,18.05
11852,18.11
11906,18.04
11959,18.62
12012,18.67
12062,18.26
12115,18.31
12168,18.34
12217,19.23
12271,18.82
12324,18.87
12377,18.94
12426,18.51
12479,18.89
12533,19.02
12581,18.62
12635,18.68
12688,18.67
12738,19.18
12790,19.13
12844,19.28
12897,18.92
12946,18.97
12999,19.04
13053,19.07
13102,19.14
13155,19.53
13208,19.67
13261,19.75
13310,19.4
13364,19.38
13417,19.45
13466,19.94
13520,20.01
13573,19.91
13626,19.65
13675,19.69
13728,19.75
13781,19.79
13831,20.26
13885,19.91
13937,19.94
13990,20.42
14040,19.96
14093,20.42
14146,20.57
14199,20.62
14249,20.72
14302,20.77
14355,20.37
14404,20.86
14458,20.88
14511,20.91
14564,20.55
14613,21.03
14666,21.06
14719,20.65
14773,20.72
14822,20.71
14875,21.06
14928,21.11
14982,20.77
15031,21.23
15084,21.3
15137,21.03
15190,21.05
15240,21.15
15293,21.18
15346,21.23
15400,21.74
15449,21.79
15502,21.85
15555,21.45
15605,21.49
15657,21.54
15711,21.59
15764,22.07
15813,21.66
15866,21.76
15920,21.79
15973,22.27
16022,21.9
16075,21.95
16129,22.41
16182,22.02
16236,22.47
16284,22.03
16338,22.51
16391,22.56
16444,22.15
16493,22.22
16546,22.27
16600,22.3
16653,22.36
16702,22.87
16756,23.04
16809,22.68
16862,22.73
16911,22.76
16964,22.83
17017,22.87
17070,22.93
17120,22.98
17173,23.04
17226,23.49
17279,23.02
17333,23.49
17382,23.07
17435,23.53
17488,23.29
17542,23.75
17591,24.22
17644,23.38
17697,23.85
17750,23.8
17800,23.48
17853,23.53
17906,23.58
17959,23.75
18013,24.26
18062,23.9
18115,23.99
18169,24.06
18222,24
18271,24.06
18324,24.11
18378,24.26
18430,24.72
18484,24.79
18533,24.45
18587,24.41
18639,24.46
18693,25.09
18746,24.72
18795,25.18
18848,24.7
18901,25.18
18955,24.77
19008,24.92
19057,25.38
19110,25.33
19163,25.38
19217,24.97
19271,25.52
19319,25.6
19372,25.53
19426,25.11
19479,25.3
19532,25.3
19581,25.33
19634,25.69
19688,25.69
19741,25.42
19795,25.43
19843,25.43
19897,25.74
19950,25.33
20004,25.81
20056,25.45
20105,25.74
20159,25.3
20212,25.84
20265,25.84
20318,25.38
20368,25.31
20421,25.3
20474,25.43
20527,25.4
20581,25.76
20630,25.33
20683,25.28
20736,25.84
20790,25.86
20843,25.28
20892,25.28
20945,25.38
20998,25.38
21052,25.81
21105,25.28
21154,25.72
21207,25.81
21261,25.84
21314,25.28
21367,25.3
21416,25.84
21470,25.84
21523,25.69
21577,25.3
21629,25.74
21678,25.84
21732,25.38
21785,25.72
21838,25.74
21891,25.38
