Time [ms],Column 0
6390,515
6492,515
6591,515
6693,515
6796,515
6894,515
6996,515
7095,515
7197,515
7295,515
7398,515
7496,515
7598,515
7701,515
7799,515
7901,515
8000,514
8102,514
8200,514
8303,515
8405,515
8504,514
8606,515
8704,515
8807,514
8905,514
9007,515
9106,514
9208,514
9310,514
9409,515
9511,514
9609,514
9712,514
9810,514
9912,514
10011,514
10113,514
10216,514
10314,514
10416,514
10515,514
10617,515
10715,514
10818,514
10920,514
11019,514
11121,515
11220,514
11321,514
11420,514
11522,514
11620,514
11723,514
11825,514
11924,514
12026,514
12124,514
12227,514
12325,514
12427,514
12530,513
12628,514
12731,513
12829,514
12931,514
13030,514
13132,513
13230,513
13333,513
13435,514
13533,513
13636,513
13734,513
13836,513
13935,513
14037,513
14140,513
14238,513
14340,513
14439,513
14541,513
14639,513
14742,513
14840,513
14942,512
15045,512
15143,512
15245,513
15344,512
15446,512
15544,512
15647,512
15745,512
15848,512
15950,512
16048,512
16150,512
16249,512
16351,512
16450,511
16552,512
16655,512
16753,512
16855,511
16953,511
17056,511
17154,512
17256,511
17355,511
17457,511
17560,511
17658,512
17760,512
17859,511
17961,511
18059,512
18162,512
18264,512
18362,512
18465,512
18563,512
18665,512
18764,512
18866,512
18964,512
19067,512
19169,512
19268,512
19370,512
19468,512
19571,512
19669,512
19772,512
19874,512
19972,512
20074,512
20173,512
20275,512
20373,512
20476,512
20574,512
20677,512
20779,512
20877,512
20980,512
21078,512
21180,512
21279,512
21381,512
21479,512
21582,512
21684,512
21782,512
21885,512
21983,512
22085,512
22184,512
22286,512
22389,512
22487,513
22589,512
22688,513
22790,513
22888,513
22991,513
23089,513
23191,514
23294,513
23392,513
23495,514
23593,513
23695,514
23793,514
23896,514
23998,514
24097,514
24199,514
24297,514
24400,514
24498,514
24600,513
24699,514
24801,513
24903,513
25002,513
25104,513
25202,513
25305,513
25403,513
25506,513
25608,513
25706,513
25809,513
25907,513
26009,512
26108,512
26210,512
26308,512
26411,512
26513,512
26611,511
26714,511
26812,511
26915,511
27013,511
27115,511
27214,511
27316,511
27418,511
27517,511
27619,511
27717,510
27820,511
27918,511
28020,511
28123,511
28221,511
28324,511
28422,511
28524,511
28623,511
28725,511
28823,511
28926,511
29028,510
29126,510
29229,510
29327,510
29429,510
29528,510
29630,511
29732,511
29831,511
29933,511
30032,511
30134,511
30232,511
30335,511
30433,511
30536,511
30638,511
30736,511
30838,511
30937,511
31039,511
31138,511
31240,511
31342,511
31440,511
31543,511
31641,511
31744,511
31842,512
31944,511
32043,511
32145,512
32247,511
32346,511
32448,511
32546,511
32649,512
32747,511
32850,512
32952,512
33050,512
33153,512
33251,512
33353,512
33452,512
33554,512
33653,512
33755,512
33857,512
33955,512
34058,512
34156,512
34258,512
34357,512
34459,512
34557,512
34660,512
34762,512
34861,512
34963,512
35061,512
35164,512
35262,512
35364,512
35467,512
35565,513
35668,512
35766,512
35868,513
35967,513
36069,513
36168,512
36270,512
36372,513
36470,512
36573,512
36671,512
36773,512
36872,512
36974,512
37076,512
37175,513
37277,512
37375,512
37478,512
37576,512
37679,512
37777,512
37879,512
37982,512
38080,512
38182,512
38281,512
38383,512
38481,512
38584,512
38686,512
38785,512
38887,512
38985,512
39088,512
39186,512
39288,513
39387,513
39489,513
39591,513
39690,513
39792,513
39890,513
39993,513
40091,513
40194,514
40292,514
40394,514
40497,514
40595,514
40697,514
40796,514
40898,514
40996,514
41099,514
41201,514
41299,515
41402,514
41500,514
41602,514
41701,515
41803,514
41902,514
42004,514
42106,514
42204,515
42307,514
42405,514
42508,514
42606,514
42708,514
42811,514
42916,514
43011,514
43110,514
43212,514
43311,514
43413,514
43511,514
43613,514
43716,514
43814,514
43917,514
44015,514
44117,514
44216,514
44318,514
44420,514
44519,514
44621,514
44719,514
44822,514
44920,514
45022,514
45121,514
45223,514
45326,514
45424,513
45526,513
45625,513
45727,514
45825,513
45928,513
46026,513
46128,513
46231,513
46329,513
46432,513
46530,513
46632,513
46731,514
46833,514
46935,514
47034,514
47136,513
47234,514
47337,514
47435,514
