Time [ms],Column 0,Column 1,Column 2
513,25.71,10501,524
544,25.8,10460,523
620,25.71,10501,524
722,25.71,10501,524
824,25.71,10501,524
927,25.71,10501,524
1029,25.71,10501,524
1132,25.71,10501,524
1234,25.71,10501,524
1332,25.71,10501,524
1435,25.71,10501,524
1537,25.62,10542.17,525
1640,25.62,10542.17,525
1744,25.62,10542.17,525
1844,25.62,10542.17,525
1947,25.62,10542.17,525
2049,25.62,10542.17,525
2147,25.62,10542.17,525
2250,25.62,10542.17,525
2352,25.62,10542.17,525
2455,25.62,10542.17,525
2557,25.62,10542.17,525
2659,25.62,10542.17,525
2762,25.62,10542.17,525
2865,25.62,10542.17,525
2967,25.62,10542.17,525
3065,25.62,10542.17,525
3167,25.62,10542.17,525
3270,25.62,10542.17,525
3372,25.62,10542.17,525
3475,25.62,10542.17,525
3577,25.71,10501,524
3679,25.71,10501,524
3782,25.71,10501,524
3881,25.71,10501,524
3983,25.71,10501,524
4085,25.71,10501,524
4187,25.71,10501,524
4290,25.71,10501,524
4392,25.71,10501,524
4494,25.71,10501,524
4597,25.71,10501,524
4699,25.71,10501,524
4798,25.71,10501,524
4900,25.71,10501,524
5002,25.71,10501,524
5105,25.71,10501,524
5207,25.71,10501,524
5310,25.71,10501,524
5412,25.71,10501,524
5514,25.71,10501,524
5613,25.71,10501,524
5715,25.71,10501,524
5817,25.71,10501,524
5920,25.71,10501,524
6022,25.71,10501,524
6125,25.71,10501,524
6227,25.71,10501,524
6329,25.71,10501,524
6428,25.71,10501,524
6530,25.71,10501,524
6632,25.71,10501,524
6735,25.62,10542.17,525
6837,25.62,10542.17,525
6940,25.71,10501,524
7042,25.62,10542.17,525
7144,25.62,10542.17,525
7243,25.62,10542.17,525
7345,25.62,10542.17,525
7448,25.62,10542.17,525
7550,25.62,10542.17,525
7652,25.62,10542.17,525
7755,25.62,10542.17,525
7857,25.62,10542.17,525
7960,25.62,10542.17,525
8062,25.62,10542.17,525
8160,25.62,10542.17,525
8263,25.62,10542.17,525
8365,25.53,10583.5,526
8467,25.62,10542.17,525
8570,25.53,10583.5,526
8672,25.53,10583.5,526
8775,25.53,10583.5,526
8877,25.62,10542.17,525
8975,25.62,10542.17,525
9078,25.62,10542.17,525
9180,25.62,10542.17,525
9283,25.53,10583.5,526
9385,25.62,10542.17,525
9487,25.62,10542.17,525
9590,25.62,10542.17,525
9692,25.62,10542.17,525
9794,25.62,10542.17,525
9893,25.62,10542.17,525
9995,25.62,10542.17,525
10098,25.62,10542.17,525
10200,25.62,10542.17,525
10303,25.62,10542.17,525
10405,25.71,10501,524
10507,25.62,10542.17,525
10610,25.62,10542.17,525
10708,25.71,10501,524
10810,25.71,10501,524
10913,25.71,10501,524
11015,25.71,10501,524
11117,25.71,10501,524
11220,25.71,10501,524
11322,25.71,10501,524
11425,25.62,10542.17,525
11527,25.71,10501,524
11625,25.71,10501,524
11728,25.71,10501,524
11830,25.71,10501,524
11933,25.62,10542.17,525
12035,25.71,10501,524
12137,25.71,10501,524
12240,25.71,10501,524
12342,25.71,10501,524
12440,25.71,10501,524
12543,25.71,10501,524
12645,25.71,10501,524
12748,25.71,10501,524
12850,25.71,10501,524
12953,25.71,10501,524
13055,25.71,10501,524
13157,25.71,10501,524
13255,25.71,10501,524
13358,25.71,10501,524
13460,25.71,10501,524
13563,25.8,10460,523
13665,25.71,10501,524
13768,25.71,10501,524
13870,25.71,10501,524
13972,25.8,10460,523
14071,25.8,10460,523
14173,25.8,10460,523
14275,25.8,10460,523
14378,25.8,10460,523
14480,25.8,10460,523
14582,25.8,10460,523
14685,25.8,10460,523
14787,25.8,10460,523
14890,25.8,10460,523
14988,25.8,10460,523
15090,25.8,10460,523
15193,25.8,10460,523
15295,25.8,10460,523
15398,25.8,10460,523
15500,25.89,10419.16,522
15602,25.89,10419.16,522
15705,25.89,10419.16,522
15804,25.89,10419.16,522
15906,25.89,10419.16,522
16008,25.89,10419.16,522
16110,25.89,10419.16,522
