"Date and Time Run #1","Time (s) Run #1","Temperature 1 (°C) Run #1","Temperature 2 (°C) Run #1","Temperature 3 (°C) Run #1","Temperature 4 (°C) Run #1"
05/01/2025 03:57:18 pm,0.000,33.90,25.59,26.72,21.31
05/01/2025 03:57:18 pm,0.050,33.90,25.58,26.72,21.30
05/01/2025 03:57:18 pm,0.100,33.90,25.58,26.72,21.29
05/01/2025 03:57:18 pm,0.150,33.90,25.58,26.72,21.29
05/01/2025 03:57:18 pm,0.200,33.89,25.58,26.72,21.28
05/01/2025 03:57:18 pm,0.250,33.89,25.58,26.72,21.28
05/01/2025 03:57:18 pm,0.300,33.89,25.58,26.72,21.26
05/01/2025 03:57:18 pm,0.350,33.89,25.58,26.72,21.27
05/01/2025 03:57:18 pm,0.400,33.88,25.58,26.72,21.26
05/01/2025 03:57:18 pm,0.450,33.88,25.58,26.72,21.26
05/01/2025 03:57:18 pm,0.500,33.88,25.58,26.71,21.25
05/01/2025 03:57:18 pm,0.550,33.88,25.58,26.71,21.25
05/01/2025 03:57:18 pm,0.600,33.88,25.57,26.71,21.24
05/01/2025 03:57:18 pm,0.650,33.88,25.58,26.71,21.24
05/01/2025 03:57:18 pm,0.700,33.88,25.58,26.71,21.24
05/01/2025 03:57:18 pm,0.750,33.88,25.57,26.71,21.23
05/01/2025 03:57:18 pm,0.800,33.87,25.57,26.71,21.23
05/01/2025 03:57:18 pm,0.850,33.87,25.58,26.71,21.23
05/01/2025 03:57:18 pm,0.900,33.87,25.57,26.71,21.23
05/01/2025 03:57:18 pm,0.950,33.87,25.57,26.70,21.22
05/01/2025 03:57:19 pm,1.000,33.86,25.57,26.70,21.22
05/01/2025 03:57:19 pm,1.050,33.86,25.57,26.70,21.21
05/01/2025 03:57:19 pm,1.100,33.86,25.57,26.70,21.21
05/01/2025 03:57:19 pm,1.150,33.86,25.57,26.70,21.21
05/01/2025 03:57:19 pm,1.200,33.86,25.57,26.70,21.20
05/01/2025 03:57:19 pm,1.250,33.85,25.57,26.70,21.20
05/01/2025 03:57:19 pm,1.300,33.85,25.56,26.70,21.19
05/01/2025 03:57:19 pm,1.350,33.85,25.56,26.70,21.19
05/01/2025 03:57:19 pm,1.400,33.85,25.56,26.69,21.19
05/01/2025 03:57:19 pm,1.450,33.85,25.56,26.69,21.18
05/01/2025 03:57:19 pm,1.500,33.85,25.56,26.69,21.18
05/01/2025 03:57:19 pm,1.550,33.84,25.56,26.69,21.18
05/01/2025 03:57:19 pm,1.600,33.84,25.56,26.69,21.17
05/01/2025 03:57:19 pm,1.650,33.84,25.56,26.69,21.17
05/01/2025 03:57:19 pm,1.700,33.84,25.56,26.69,21.17
05/01/2025 03:57:19 pm,1.750,33.84,25.56,26.69,21.16
05/01/2025 03:57:19 pm,1.800,33.83,25.56,26.69,21.16
05/01/2025 03:57:19 pm,1.850,33.83,25.55,26.69,21.16
05/01/2025 03:57:19 pm,1.900,33.83,25.56,26.68,21.16
05/01/2025 03:57:19 pm,1.950,33.83,25.55,26.69,21.15
05/01/2025 03:57:20 pm,2.000,33.83,25.55,26.68,21.15
05/01/2025 03:57:20 pm,2.050,33.83,25.56,26.68,21.14
05/01/2025 03:57:20 pm,2.100,33.83,25.55,26.68,21.14
05/01/2025 03:57:20 pm,2.150,33.82,25.55,26.68,21.13
05/01/2025 03:57:20 pm,2.200,33.82,25.55,26.68,21.13
05/01/2025 03:57:20 pm,2.250,33.82,25.55,26.68,21.13
05/01/2025 03:57:20 pm,2.300,33.82,25.55,26.68,21.13
05/01/2025 03:57:20 pm,2.350,33.81,25.55,26.68,21.12
05/01/2025 03:57:20 pm,2.400,33.82,25.55,26.67,21.12
05/01/2025 03:57:20 pm,2.450,33.81,25.55,26.67,21.12
05/01/2025 03:57:20 pm,2.500,33.81,25.54,26.67,21.11
05/01/2025 03:57:20 pm,2.550,33.81,25.55,26.67,21.12
05/01/2025 03:57:20 pm,2.600,33.81,25.54,26.67,21.11
05/01/2025 03:57:20 pm,2.650,33.81,25.54,26.67,21.10
05/01/2025 03:57:20 pm,2.700,33.80,25.54,26.67,21.11
05/01/2025 03:57:20 pm,2.750,33.80,25.54,26.67,21.10
05/01/2025 03:57:20 pm,2.800,33.80,25.54,26.67,21.10
05/01/2025 03:57:20 pm,2.850,33.80,25.54,26.67,21.10
05/01/2025 03:57:20 pm,2.900,33.79,25.54,26.67,21.09
05/01/2025 03:57:20 pm,2.950,33.79,25.54,26.66,21.09
05/01/2025 03:57:21 pm,3.000,33.80,25.54,26.66,21.09
05/01/2025 03:57:21 pm,3.050,33.79,25.54,26.66,21.09
05/01/2025 03:57:21 pm,3.100,33.79,25.54,26.66,21.09
05/01/2025 03:57:21 pm,3.150,33.78,25.53,26.66,21.08
05/01/2025 03:57:21 pm,3.200,33.78,25.54,26.66,21.08
05/01/2025 03:57:21 pm,3.250,33.78,25.53,26.66,21.08
05/01/2025 03:57:21 pm,3.300,33.78,25.53,26.66,21.07
05/01/2025 03:57:21 pm,3.350,33.78,25.53,26.66,21.07
05/01/2025 03:57:21 pm,3.400,33.78,25.53,26.66,21.07
05/01/2025 03:57:21 pm,3.450,33.77,25.53,26.65,21.07
05/01/2025 03:57:21 pm,3.500,33.77,25.53,26.65,21.07
05/01/2025 03:57:21 pm,3.550,33.77,25.53,26.65,21.06
05/01/2025 03:57:21 pm,3.600,33.77,25.53,26.65,21.06
05/01/2025 03:57:21 pm,3.650,33.77,25.53,26.65,21.06
05/01/2025 03:57:21 pm,3.700,33.77,25.52,26.65,21.06
05/01/2025 03:57:21 pm,3.750,33.77,25.53,26.65,21.07
05/01/2025 03:57:21 pm,3.800,33.76,25.53,26.65,21.07
05/01/2025 03:57:21 pm,3.850,33.76,25.52,26.65,21.06
05/01/2025 03:57:21 pm,3.900,33.76,25.52,26.65,21.06
05/01/2025 03:57:21 pm,3.950,33.76,25.52,26.65,21.07
05/01/2025 03:57:22 pm,4.000,33.75,25.52,26.65,21.07
