Current (A)	Voltage (V)	Temp (C )
0.01	0.558	30.8
0.02	0.53	30.2
0.03	0.511	31
0.04	0.512	29.7
0.05	0.498	30.2
0.06	0.478	31.2
0.07	0.476	31
0.08	0.465	31.7
0.09	0.451	31.6
0.1	0.445	31.4
0.11	0.467	31.5
0.12	0.451	31.6
0.13	0.439	31
0.14	0.421	31.5
0.15	0.412	31.4
0.16	0.401	29.5
0.17	0.391	30.2
0.18	0.374	30.4
0.19	0.369	30.4
0.2	0.367	31.5
0.21	0.359	31
0.22	0.343	31
0.23	0.325	30.9
0.24	0.315	29.6
0.25	0.303	29
0.26	0.301	29.4
0.27	0.283	29.8
0.28	0.291	28.8
0.29	0.271	30.4
0.3	0.246	30.5
0.31	0.232	29.2
0.32	0.24	30.2
0.33	0.224	29.7
0.34	0.242	27.9
0.35	0.22	27.7
0.36	0.216	29.4
0.37	0.19	30.7
0.38	0.178	31
0.39	0.168	28.9
0.4	0.137	29.4
