Current,Volts,Temp,,
0,0.59,30,,
0.01,0.579,30,,before
0.02,0.564,30,,
0.03,0.55,30,,
0.04,0.535,31.4,,
0.05,0.525,31.4,,
0.06,0.51,31.5,,
0.07,0.495,31.5,,
0.08,0.481,32.2,,
0.09,0.471,31.5,,
0.1,0.456,30.8,,
0.11,0.444,30.7,,
0.12,0.432,30.9,,
0.13,0.425,31.3,,
0.14,0.412,30.7,,
0.15,0.401,30.1,,
0.16,0.391,30.3,,
0.17,0.384,29.9,,
0.18,0.36,30.9,,
0.19,0.348,31.5,,
0.2,0.33,31.6,,
0.21,0.331,31.5,,
0.22,0.311,30.1,,
0.23,0.3,30.4,,
0.24,0.309,30.4,,
0.25,0.291,30,,
0.26,0.268,29.5,,
0.27,0.253,30.3,,
0.28,0.229,30.4,,
0.29,0.216,29.8,,
0.3,0.218,30.5,,
0.31,0.205,30,,
0.32,0.177,29.6,,
0.33,0.164,30.3,,
0.34,0.155,30.5,,
0.35,0.152,31.2,,
0.36,0.124,30.8,,
