V,V (I) mV
-104.5,15.3
-100.7,15
-90.4,14.2
-80.5,13.4
-70,12.6
-60.1,11.7
-50,10.9
-40.14,10
-30.07,9.1
-20.11,8.2
-15.05,7.7
-10.04,7.2
-5.055,6.7
0.002,5.9
4.915,5
10,3.6
15.02,2.1
19.1,1
19.84,0.8
20.52,0.6
20.94,0.5
21.96,0.3
22.22,0.2
22.55,0.1
22.8,0.1
23.07,0
25.02,-0.4
25.53,-0.6
26.52,-0.8
27.28,-1
28.17,-1.2
32.03,-2.4
37.15,-4.9
39.36,-6.4
41,-8.3
43.36,-12.2
45.97,-19.4
46.24,-19.6
47.86,-25.2
48.75,-29
49.71,-33.6
51.6,-43.4
53.42,-52.4
55,-60.5
57.1,-71.3
58.63,-78.9
60.52,-88.3
62.05,-96
63.71,-104.9
65.72,-115.5
67.2,-123.4
69.3,-134.9
72,-150.1
78,-185.1
80.4,-199.3
85.1,-227.5
88.4,-247.3
94.1,-282
97.9,-306.4
100.6,-323.9
