"Date and Time Run #1","Time (s) Run #1","Temperature 1 (°C) Run #1","Temperature 2 (°C) Run #1","Temperature 3 (°C) Run #1","Temperature 4 (°C) Run #1"
05/01/2025 03:32:23 pm,0.000,8.70,7.04,7.61,24.35
05/01/2025 03:32:23 pm,0.050,8.71,7.03,7.61,24.33
05/01/2025 03:32:23 pm,0.100,8.70,7.04,7.62,24.31
05/01/2025 03:32:23 pm,0.150,8.71,7.04,7.62,24.30
05/01/2025 03:32:23 pm,0.200,8.70,7.04,7.63,24.29
05/01/2025 03:32:23 pm,0.250,8.71,7.05,7.63,24.28
05/01/2025 03:32:23 pm,0.300,8.71,7.04,7.64,24.27
05/01/2025 03:32:23 pm,0.350,8.71,7.05,7.64,24.25
05/01/2025 03:32:23 pm,0.400,8.70,7.06,7.64,24.25
05/01/2025 03:32:23 pm,0.450,8.70,7.06,7.65,24.24
05/01/2025 03:32:23 pm,0.500,8.70,7.06,7.66,24.23
05/01/2025 03:32:23 pm,0.550,8.70,7.06,7.66,24.22
05/01/2025 03:32:23 pm,0.600,8.70,7.06,7.66,24.21
05/01/2025 03:32:23 pm,0.650,8.70,7.07,7.67,24.20
05/01/2025 03:32:23 pm,0.700,8.70,7.07,7.67,24.20
05/01/2025 03:32:23 pm,0.750,8.70,7.07,7.67,24.19
05/01/2025 03:32:23 pm,0.800,8.69,7.07,7.68,24.18
05/01/2025 03:32:23 pm,0.850,8.69,7.07,7.68,24.17
05/01/2025 03:32:23 pm,0.900,8.69,7.07,7.68,24.16
05/01/2025 03:32:23 pm,0.950,8.70,7.08,7.69,24.16
05/01/2025 03:32:24 pm,1.000,8.69,7.07,7.69,24.15
05/01/2025 03:32:24 pm,1.050,8.70,7.08,7.70,24.14
05/01/2025 03:32:24 pm,1.100,8.69,7.08,7.70,24.13
05/01/2025 03:32:24 pm,1.150,8.69,7.09,7.70,24.13
05/01/2025 03:32:24 pm,1.200,8.70,7.09,7.72,24.12
05/01/2025 03:32:24 pm,1.250,8.69,7.09,7.71,24.11
05/01/2025 03:32:24 pm,1.300,8.70,7.09,7.72,24.09
05/01/2025 03:32:24 pm,1.350,8.69,7.10,7.72,24.08
05/01/2025 03:32:24 pm,1.400,8.70,7.10,7.73,24.06
05/01/2025 03:32:24 pm,1.450,8.70,7.10,7.73,24.05
05/01/2025 03:32:24 pm,1.500,8.70,7.10,7.73,24.04
05/01/2025 03:32:24 pm,1.550,8.69,7.11,7.74,24.03
05/01/2025 03:32:24 pm,1.600,8.69,7.11,7.74,24.01
05/01/2025 03:32:24 pm,1.650,8.69,7.11,7.75,24.00
05/01/2025 03:32:24 pm,1.700,8.69,7.12,7.75,23.99
05/01/2025 03:32:24 pm,1.750,8.69,7.11,7.76,23.97
