"Altitude
[km]","Electron Density
[m-3]"
100,2.27E+10
150,2.80E+10
200,5.04E+10
250,1.40E+11
300,2.19E+11
350,2.01E+11
400,1.52E+11
450,1.08E+11
500,7.60E+10
550,5.45E+10
600,4.01E+10
650,3.04E+10
700,2.36E+10
750,1.87E+10
800,1.52E+10
850,1.25E+10
900,1.05E+10
950,8.96E+09
1000,7.72E+09
1050,6.73E+09
1100,5.92E+09
1150,5.26E+09
1200,4.71E+09
1250,4.24E+09
1300,3.85E+09
1350,3.51E+09
1400,3.22E+09
1450,2.97E+09
1500,2.75E+09
1550,2.55E+09
1600,2.38E+09
1650,2.23E+09
1700,2.09E+09
1750,1.97E+09
1800,1.86E+09
1850,1.76E+09
1900,1.67E+09
1950,1.59E+09
2000,1.51E+09
