"_time","Ambient Humidity %RH","Ambient Pressure PSIA","Ambient Temperature deg F","Fuel rate gal/s","Fuel total gallons","Load Cell lbf","Pressure Sensor P01 Inlet Pitot Impact PSIg","Pressure Sensor P03 Compressor PSIg","Pressure Sensor P08 Pitot Impact PSIg","Pressure Sensor P1 Inlet Static PSIg","Pressure Sensor P8 Static PSIg","Tach % RPM","Temp sensor To1 degree F","Temp sensor To3 degree F","Temp sensor To4 degree F","Temp sensor To5 degree F"
2025-10-21 16:26:53,67.0,14.8,62.2,0,0,3.80,0.209,0.0458,0.263,0.280,0.322,,64.4,68.5,66.7,66.2
2025-10-21 16:26:54,66.9,14.8,62.2,0,0,3.90,0.227,0.00969,0.263,0.282,0.324,,64.4,67.6,67.1,67.1
2025-10-21 16:26:55,66.9,14.8,62.2,0,0,4.03,0.212,-0.0241,0.260,0.288,0.317,,63.5,69.4,66.2,66.7
2025-10-21 16:26:56,66.9,14.8,62.2,0,0,4.28,0.217,-0.0273,0.261,0.285,0.320,0,63.5,68.5,66.7,66.2
2025-10-21 16:26:57,66.9,14.8,62.3,0,0,4.48,0.216,-0.00203,0.261,0.274,0.319,0,64.0,68,67.1,66.7
2025-10-21 16:26:58,66.8,14.8,62.3,0,0,4.71,0.220,0.0303,0.262,0.288,0.312,0,64.0,68.5,66.2,66.7
2025-10-21 16:26:59,66.8,14.8,62.3,0,0,4.78,0.230,0.00266,0.261,0.283,0.313,0,64.4,68.9,66.2,66.7
2025-10-21 16:27:00,66.8,14.8,62.3,0,0,4.68,0.228,0.0373,0.260,0.282,0.313,0,62.2,69.8,66.2,66.7
2025-10-21 16:27:01,66.8,14.8,62.3,0,0,4.49,0.226,0.0233,0.260,0.287,0.325,0,63.1,68.9,67.1,65.8
2025-10-21 16:27:02,66.7,14.8,62.3,0,0,4.19,0.219,0.0298,0.261,0.280,0.308,0,63.5,68.9,67.1,65.8
2025-10-21 16:27:03,66.7,14.8,62.3,0,0,4.06,0.220,0.0144,0.262,0.294,0.315,0,63.1,68,67.1,66.7
2025-10-21 16:27:04,66.7,14.8,62.3,0,0,3.82,0.217,-0.000625,0.262,0.282,0.310,0,64.4,68.9,66.7,66.7
2025-10-21 16:27:05,66.6,14.8,62.3,0,0,3.93,0.236,-0.00812,0.263,0.288,0.323,0,63.5,68.9,66.2,67.1
2025-10-21 16:27:06,66.6,14.8,62.3,0,0,4.05,0.219,0.0153,0.262,0.280,0.325,0,63.5,68.9,66.2,67.1
2025-10-21 16:27:07,66.6,14.8,62.4,0,0,4.36,0.211,-0.00250,0.261,0.284,0.323,0,63.5,68.9,67.1,66.2
2025-10-21 16:27:08,66.5,14.8,62.4,0,0,4.58,0.224,0.0116,0.260,0.290,0.318,0,64.0,68.5,66.7,65.8
2025-10-21 16:27:09,66.5,14.8,62.4,0,0,4.72,0.220,0.00922,0.260,0.292,0.316,0,64.0,68.5,66.7,66.7
2025-10-21 16:27:10,66.5,14.8,62.4,0,0,4.68,0.221,0.00500,0.261,0.274,0.316,0,63.1,68.5,67.1,66.7
2025-10-21 16:27:11,66.5,14.8,62.4,0,0,4.51,0.216,0.0125,0.260,0.291,0.316,0,64.0,69.4,66.7,66.7
2025-10-21 16:27:12,66.4,14.8,62.4,0,0,4.29,0.217,0.00641,0.262,0.291,0.319,0,64.0,68.9,67.1,65.3
