Time (sec),Boost (psi),Calculated Load (g/rev),Clutch Sw (on/off),Coolant Temp (F),Dyn Adv Mult (DAM),Feedback Knock (°),Fuel Economy (mpg),Gear Position (gear),Intake Temp (F),MAF (g/s),Man Abs Press (psi),RPM (RPM),Target Throttle (%),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),"AP Info:[AP3-SUB-002 v1.7.5.0-26366][2006 USDM Impreza WRX STI][Reflash: Stage1 91 v400.ptm - Realtime: Stage1 91 v400.ptm]"
0.000,-11.43,0.19,off,183.2,0.375,0.00,70.3,4,75.2,14.62,3.28,4528,0.00,9.4,65,0.00,0
0.004,-11.41,0.19,off,183.2,0.375,0.00,70.8,4,75.2,14.51,3.33,4497,0.00,9.4,65,0.00,0
0.111,-11.40,0.19,off,183.2,0.375,0.00,70.6,4,75.2,14.57,3.28,4518,0.00,9.4,65,0.00,0
0.201,-11.43,0.20,off,183.2,0.375,0.00,69.6,4,75.2,14.79,3.32,4488,0.00,9.4,65,0.00,0
0.319,-11.41,0.20,off,183.2,0.375,0.00,67.7,4,75.2,14.74,3.34,4482,0.00,9.4,63,0.00,0
0.408,-11.39,0.20,off,183.2,0.375,0.00,68.0,4,75.2,14.68,3.28,4501,0.00,9.4,63,0.00,0
0.501,-11.41,0.20,off,183.2,0.375,0.00,68.0,4,75.2,14.68,3.32,4462,0.00,9.4,63,0.00,0
0.589,-11.37,0.20,off,183.2,0.375,0.00,68.2,4,75.2,14.62,3.38,4474,3.47,8.2,63,14.90,0
0.718,-11.73,0.18,off,183.2,0.375,0.00,61.4,4,75.2,16.27,2.89,4480,9.86,13.3,63,18.82,0
0.786,-10.60,0.26,off,183.2,0.375,0.00,44.2,4,75.2,22.59,3.87,4491,12.39,14.5,63,20.00,0
0.898,-10.15,0.32,off,183.2,0.375,0.00,38.6,4,75.2,25.85,4.45,4480,13.31,15.3,63,20.00,0
1.011,-9.92,0.34,off,183.2,0.375,0.00,36.7,4,75.2,27.22,4.71,4502,13.75,16.1,63,20.00,0
1.079,-9.57,0.38,off,183.2,0.375,0.00,31.8,4,75.2,28.70,5.05,4470,14.33,16.5,63,20.00,0
1.181,-9.47,0.39,off,183.2,0.375,0.00,28.7,4,75.2,29.59,5.22,4456,14.34,16.5,63,20.00,0
1.281,-9.41,0.40,off,183.2,0.375,0.00,27.3,4,75.2,30.49,5.24,4478,15.00,17.3,63,20.00,0
1.393,-9.14,0.41,off,183.2,0.375,0.00,26.3,4,75.2,31.39,5.50,4479,15.16,17.3,63,20.00,0
1.478,-9.06,0.42,off,183.2,0.375,0.00,26.1,4,75.2,31.68,5.61,4462,15.23,17.3,63,20.00,0
1.578,-8.99,0.43,off,183.2,0.375,0.00,23.1,4,75.2,33.11,5.65,4469,15.81,18.0,63,20.00,0
1.670,-8.54,0.45,off,183.2,0.375,0.00,19.1,4,75.2,36.24,5.99,4495,16.84,19.6,63,20.00,0
1.771,-7.55,0.51,off,183.2,0.375,0.00,15.5,4,75.2,43.90,6.69,4488,19.07,22.4,63,20.00,0
