Time (sec),Boost (psi),Calculated Load (g/rev),Clutch Sw (on/off),Coolant Temp (F),Dyn Adv Mult (DAM),Feedback Knock (°),Fuel Economy (mpg),Gear Position (gear),Intake Temp (F),MAF (g/s),Man Abs Press (psi),RPM (RPM),Target Throttle (%),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),"AP Info:[AP3-SUB-002 v1.7.5.0-26366][2006 USDM Impreza WRX STI][Reflash: Stage1 91 v400.ptm - Realtime: Stage1 91 v400.ptm]"
0.000,-8.58,0.42,off,186.8,0.500,0.00,16.9,3,75.2,25.24,6.20,3604,12.00,14.5,38,20.00,0
0.006,-8.58,0.42,off,186.8,0.500,0.00,17.2,3,75.2,24.96,6.21,3615,12.19,14.5,38,20.00,0
0.067,-8.63,0.42,off,186.8,0.500,0.00,16.9,3,75.2,25.34,6.15,3587,12.19,14.5,38,20.00,0
0.168,-8.65,0.42,off,186.8,0.500,0.00,16.9,3,75.2,25.43,6.13,3600,12.19,14.5,39,20.00,0
0.280,-8.65,0.42,off,186.8,0.500,0.00,17.4,3,75.2,24.96,6.10,3596,12.00,14.5,39,20.00,0
0.367,-8.71,0.41,off,186.8,0.500,0.00,17.4,3,75.2,24.77,6.05,3610,12.18,14.5,39,20.00,0
0.469,-8.69,0.41,off,186.8,0.500,0.00,17.4,3,75.2,24.96,6.05,3596,12.19,14.9,39,20.00,0
0.557,-8.54,0.42,off,186.8,0.500,0.00,16.9,3,75.2,25.85,6.20,3623,12.00,14.5,39,20.00,0
0.666,-8.66,0.42,off,186.8,0.500,0.00,17.6,3,75.2,25.05,6.16,3631,12.00,14.5,39,20.00,0
0.755,-8.68,0.41,off,186.8,0.500,0.00,16.9,3,75.2,25.15,6.09,3639,12.19,14.5,39,20.00,0
0.871,-8.66,0.42,off,186.8,0.500,0.00,16.7,3,75.2,25.54,6.09,3648,12.19,14.5,39,20.00,0
0.988,-8.63,0.42,off,186.8,0.500,0.00,16.9,3,75.2,25.75,6.13,3657,12.19,14.5,39,20.00,0
1.069,-8.66,0.42,off,186.8,0.500,0.00,17.2,3,75.2,25.34,6.12,3658,12.01,14.5,39,20.00,0
1.179,-8.67,0.42,off,186.8,0.500,0.00,16.9,3,75.2,25.34,6.07,3656,12.19,14.5,39,20.00,0
1.253,-8.72,0.42,off,186.8,0.500,0.00,17.2,3,75.2,25.15,6.07,3644,12.19,14.5,39,20.00,0
1.360,-8.71,0.41,off,186.8,0.500,0.00,17.4,3,75.2,24.96,6.05,3641,12.19,14.5,39,20.00,0
1.446,-8.73,0.41,off,186.8,0.500,0.00,17.6,3,75.2,24.96,6.04,3642,12.20,14.5,39,20.00,0
1.567,-8.71,0.41,off,186.8,0.500,0.00,17.4,3,75.2,25.15,6.05,3642,12.00,14.5,39,20.00,0
1.640,-8.74,0.41,off,186.8,0.500,0.00,17.4,3,75.2,24.96,6.04,3651,12.20,14.5,39,20.00,0
1.749,-8.72,0.41,off,186.8,0.500,0.00,17.2,3,75.2,25.24,6.05,3647,12.19,14.5,39,20.00,0
1.832,-8.73,0.41,off,186.8,0.500,0.00,17.2,3,75.2,25.34,6.03,3640,12.19,14.5,39,20.00,0
1.945,-8.73,0.41,off,186.8,0.500,0.00,17.4,3,75.2,24.96,6.03,3645,12.19,14.5,39,20.00,0
2.029,-8.69,0.42,off,186.8,0.500,0.00,16.7,3,75.2,25.96,6.06,3654,12.02,14.5,39,20.00,0
2.129,-8.72,0.42,off,186.8,0.500,0.00,17.6,3,75.2,25.05,6.10,3657,12.20,14.5,39,20.00,0
2.227,-8.77,0.41,off,186.8,0.500,0.00,17.6,3,75.2,24.89,6.03,3654,12.19,14.5,39,20.00,0
2.339,-8.75,0.41,off,186.8,0.500,0.00,17.4,3,75.2,25.17,6.00,3665,12.01,14.5,39,20.00,0
2.433,-8.77,0.41,off,186.8,0.500,0.00,17.6,3,75.2,25.08,5.98,3660,12.20,14.5,39,20.00,0
2.520,-8.72,0.42,off,186.8,0.500,0.00,17.4,3,75.2,25.56,6.03,3667,12.02,14.5,39,20.00,0
2.615,-8.74,0.42,off,186.8,0.500,0.00,17.6,3,75.2,25.27,6.01,3664,12.01,14.5,39,20.00,0
2.715,-8.77,0.41,off,186.8,0.500,0.00,17.6,3,75.2,24.98,6.00,3666,12.19,14.5,39,20.00,0
2.816,-8.79,0.41,off,186.8,0.500,0.00,17.4,3,75.2,25.08,6.00,3667,12.20,14.5,39,20.00,0
2.917,-8.77,0.41,off,186.8,0.500,0.00,17.4,3,75.2,25.36,5.95,3678,12.20,14.5,39,20.00,0
3.010,-8.72,0.42,off,186.8,0.500,0.00,17.2,3,75.2,25.80,6.01,3670,12.02,14.5,39,20.00,0
3.111,-8.74,0.42,off,186.8,0.500,0.00,17.4,3,75.2,25.59,6.04,3682,12.20,14.5,39,20.00,0
3.206,-8.75,0.42,off,186.8,0.500,0.00,17.2,3,75.2,25.59,6.00,3676,12.20,14.5,39,20.00,0
3.302,-8.74,0.42,off,186.8,0.500,0.00,17.2,3,75.2,25.69,6.03,3683,12.20,14.5,39,20.00,0
3.403,-8.73,0.41,off,186.8,0.500,0.00,17.4,3,75.2,25.59,6.04,3678,12.02,14.5,39,20.00,0
3.498,-8.72,0.41,off,186.8,0.500,0.00,17.4,3,75.2,25.59,6.03,3682,12.20,14.5,39,20.00,0
3.596,-8.73,0.41,off,186.8,0.500,0.00,17.4,3,75.2,25.39,6.03,3705,12.20,14.5,39,20.00,0
3.696,-8.77,0.41,off,186.8,0.500,0.00,17.4,3,75.2,25.59,6.00,3712,12.20,14.5,39,20.00,0
3.800,-8.77,0.41,off,186.8,0.500,0.00,17.4,3,75.2,25.41,6.00,3700,12.20,14.5,39,20.00,0
3.900,-8.79,0.41,off,186.8,0.500,0.00,17.6,3,75.2,24.94,5.99,3708,12.02,14.5,39,20.00,0
3.994,-8.83,0.41,off,186.8,0.500,0.00,17.4,3,75.2,25.22,5.98,3702,12.02,14.5,39,20.00,0
4.086,-8.79,0.41,off,186.8,0.500,0.00,17.6,3,75.2,25.03,5.96,3694,12.20,14.5,39,20.00,0
4.184,-8.78,0.41,off,186.8,0.500,0.00,17.4,3,75.2,25.32,5.96,3704,12.20,14.5,39,20.00,0
4.287,-8.74,0.42,off,186.8,0.500,0.00,17.2,3,75.2,26.14,6.03,3708,12.02,14.5,39,20.00,0
4.386,-8.74,0.42,off,186.8,0.500,0.00,17.2,3,75.2,25.61,6.04,3705,12.02,14.5,39,20.00,0
4.480,-8.83,0.41,off,186.8,0.500,0.00,17.6,3,75.2,25.03,5.96,3708,12.02,14.5,40,20.00,0
4.581,-8.84,0.41,off,186.8,0.500,0.00,17.9,3,75.2,24.68,5.89,3704,12.03,14.5,40,20.00,0
4.676,-8.80,0.41,off,186.8,0.500,0.00,17.6,3,75.2,25.44,5.95,3708,12.20,14.5,40,20.00,0
4.772,-8.75,0.41,off,186.8,0.500,0.00,17.6,3,75.2,25.64,6.01,3702,12.20,14.5,40,20.00,0
4.876,-8.74,0.41,off,186.8,0.500,0.00,17.9,3,75.2,25.25,6.03,3708,12.20,14.5,40,20.00,0
4.969,-8.77,0.41,off,186.8,0.500,0.00,17.9,3,75.2,25.06,6.00,3699,12.02,14.5,40,20.00,0
