Time (sec),Boost (psi),Calculated Load (g/rev),Clutch Sw (on/off),Coolant Temp (F),Dyn Adv Mult (DAM),Feedback Knock (°),Fuel Economy (mpg),Gear Position (gear),Intake Temp (F),MAF (g/s),Man Abs Press (psi),RPM (RPM),Target Throttle (%),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),"AP Info:[AP3-SUB-002 v1.7.5.0-26366][2006 USDM Impreza WRX STI][Reflash: Stage1 91 v400.ptm - Realtime: Stage1 91 v400.ptm]"
0.000,-10.25,0.27,on,199.4,0.375,0.00,30.8,3,87.8,4.28,4.52,936,0.00,2.7,11,0.00,0
0.040,-10.27,0.27,on,199.4,0.375,0.00,28.9,3,87.8,4.34,4.48,919,0.00,2.7,11,0.00,0
0.145,-10.26,0.27,on,199.4,0.375,0.00,28.5,3,87.8,4.31,4.48,916,0.00,2.7,11,0.00,0
0.232,-10.26,0.27,on,199.4,0.375,0.00,28.2,3,87.8,4.28,4.50,907,0.00,2.7,11,0.00,0
0.324,-10.26,0.27,on,199.4,0.375,0.00,27.5,3,87.8,4.34,4.50,907,0.00,2.7,11,0.00,0
0.424,-10.21,0.28,on,199.4,0.375,0.00,25.2,3,87.8,4.42,4.54,898,0.00,2.7,10,0.00,0
0.528,-10.21,0.28,on,199.4,0.375,0.00,25.6,3,87.8,4.31,4.54,907,0.00,2.7,10,0.00,0
0.634,-10.21,0.28,on,199.4,0.375,0.00,26.1,3,87.8,4.20,4.54,904,0.00,2.4,10,0.00,0
0.725,-10.21,0.28,on,199.4,0.375,0.00,25.4,3,87.8,4.28,4.54,906,0.00,2.4,10,0.00,0
0.820,-10.21,0.28,on,199.4,0.375,0.00,21.9,3,87.8,4.34,4.54,908,0.00,2.4,9,0.00,0
0.915,-10.21,0.27,on,199.4,0.375,0.00,22.8,3,87.8,4.12,4.54,930,0.00,2.4,9,0.00,0
1.016,-10.21,0.27,on,199.4,0.375,0.00,21.6,3,87.8,4.31,4.54,933,0.00,2.4,9,0.00,0
1.110,-10.26,0.27,on,199.4,0.375,0.00,22.1,2,87.8,4.23,4.50,965,0.00,2.7,9,0.00,0
1.207,-10.30,0.27,on,199.4,0.375,0.00,21.2,2,87.8,4.39,4.48,972,0.00,2.7,9,0.00,0
1.303,-10.33,0.26,on,199.4,0.375,0.00,19.8,2,87.8,4.42,4.44,990,0.00,2.7,8,0.00,0
1.408,-10.36,0.26,on,199.4,0.375,0.00,19.5,2,87.8,4.50,4.40,986,0.00,2.7,8,0.00,0
1.518,-10.36,0.27,on,199.4,0.375,0.00,19.5,2,87.8,4.47,4.40,995,0.00,2.7,8,0.00,0
1.603,-10.41,0.26,on,199.4,0.375,0.00,19.8,2,87.8,4.42,4.36,994,0.00,2.7,8,0.00,0
1.700,-10.41,0.26,on,199.4,0.375,0.00,19.8,2,87.8,4.42,4.35,991,0.00,2.7,8,0.00,0
1.796,-10.41,0.26,on,199.4,0.375,0.00,16.7,2,87.8,4.47,4.35,1001,0.00,2.7,7,0.00,0
1.896,-10.42,0.26,on,199.4,0.375,0.00,16.9,2,87.8,4.39,4.35,1018,0.00,2.7,7,0.00,0
2.017,-10.45,0.26,on,199.4,0.375,0.00,16.7,2,87.8,4.45,4.31,1011,0.00,2.7,7,0.00,0
2.101,-10.45,0.26,on,199.4,0.375,0.00,16.7,2,87.8,4.42,4.30,1023,0.00,2.7,7,0.00,0
2.187,-10.48,0.26,on,199.4,0.375,0.00,16.7,2,87.8,4.47,4.28,1019,0.00,2.7,7,0.00,0
2.289,-10.49,0.26,on,199.4,0.375,0.00,16.2,2,87.8,4.56,4.28,1015,0.00,2.7,7,0.00,0
2.385,-10.50,0.26,on,199.4,0.375,0.00,16.5,2,87.8,4.47,4.25,1024,0.00,2.7,7,0.00,0
2.479,-10.50,0.26,on,199.4,0.375,0.00,16.5,2,87.8,4.45,4.25,1029,0.00,2.7,7,0.00,0
2.581,-10.50,0.26,on,199.4,0.375,0.00,17.2,2,87.8,4.31,4.25,1020,0.00,2.7,7,0.00,0
2.679,-10.51,0.25,on,199.4,0.375,0.00,17.2,2,87.8,4.28,4.23,1034,0.00,2.7,7,0.00,0
2.774,-10.51,0.25,on,199.4,0.375,0.00,15.1,1,87.8,4.39,4.24,1029,0.00,2.7,6,0.00,0
2.879,-10.54,0.25,on,199.4,0.375,0.00,14.6,1,87.8,4.53,4.24,1019,0.00,2.7,6,0.00,0
2.979,-10.53,0.26,on,199.4,0.375,0.00,14.6,1,87.8,4.53,4.24,1029,0.00,2.7,6,0.00,0
3.071,-10.51,0.26,on,199.4,0.375,0.00,15.1,1,87.8,4.45,4.23,1037,0.00,2.7,6,0.00,0
3.169,-10.54,0.26,on,199.4,0.375,0.00,15.3,1,87.8,4.34,4.22,1021,0.00,2.7,6,0.00,0
3.265,-10.55,0.26,on,199.4,0.375,0.00,15.1,1,87.8,4.42,4.20,1026,0.00,2.7,6,0.00,0
3.361,-10.55,0.25,on,199.4,0.375,0.00,14.6,1,87.8,4.53,4.20,1029,0.00,2.7,6,0.00,0
3.461,-10.55,0.26,on,199.4,0.375,0.00,14.6,1,89.6,4.56,4.20,1026,0.00,2.7,6,0.00,0
3.559,-10.55,0.26,on,199.4,0.375,0.00,14.6,1,89.6,4.53,4.20,1033,0.00,2.7,6,0.00,0
3.655,-10.54,0.26,on,201.2,0.375,0.00,13.4,1,89.6,4.42,4.22,1039,0.00,2.7,6,0.00,0
3.761,-10.55,0.26,on,201.2,0.375,0.00,13.4,1,89.6,4.45,4.20,1032,0.00,2.7,6,0.00,0
3.857,-10.55,0.26,on,201.2,0.375,0.00,13.2,1,89.6,4.53,4.20,1040,0.00,2.7,6,0.00,0
3.955,-10.55,0.26,on,201.2,0.375,0.00,12.9,1,89.6,4.56,4.20,1048,0.00,2.7,6,0.00,0
4.050,-10.55,0.26,on,201.2,0.375,0.00,13.2,1,89.6,4.50,4.20,1039,0.00,2.7,6,0.00,0
4.149,-10.55,0.26,on,201.2,0.375,0.00,12.2,1,89.6,4.33,4.20,1036,0.00,2.7,5,0.00,0
4.243,-10.54,0.25,on,201.2,0.375,0.00,11.8,1,89.6,4.45,4.20,1046,0.00,2.7,5,0.00,0
4.344,-10.45,0.25,on,201.2,0.375,0.00,11.8,1,89.6,4.45,4.28,1033,0.00,2.7,5,0.00,0
4.446,-10.44,0.25,on,201.2,0.375,0.00,12.2,1,89.6,4.28,4.30,1037,0.00,2.7,5,0.00,0
4.548,-10.44,0.25,on,201.2,0.375,0.00,11.8,1,89.6,4.50,4.31,1024,0.00,2.7,5,0.00,0
4.646,-10.45,0.25,on,201.2,0.375,0.00,12.2,1,89.6,4.31,4.30,1040,0.00,2.7,5,0.00,0
4.733,-10.48,0.25,on,201.2,0.375,0.00,12.2,1,89.6,4.42,4.28,1021,0.00,2.7,5,0.00,0
4.838,-10.48,0.25,on,201.2,0.375,0.00,12.0,1,89.6,4.50,4.28,1024,0.00,2.7,5,0.00,0
4.930,-10.50,0.26,on,201.2,0.375,0.00,12.0,1,89.6,4.53,4.25,1040,0.00,2.7,5,0.00,0
5.029,-10.51,0.26,on,201.2,0.375,0.00,12.2,1,89.6,4.50,4.25,1028,0.00,2.7,5,0.00,0
5.126,-10.54,0.26,on,201.2,0.375,0.00,9.2,1,89.6,4.47,4.22,1031,0.00,2.4,4,0.00,0
5.231,-10.61,0.26,on,201.2,0.375,0.00,9.4,1,89.6,4.28,4.22,1042,0.00,2.0,4,0.00,0
5.323,-10.74,0.24,on,201.2,0.375,0.00,10.8,1,89.6,3.70,4.06,1040,0.00,1.6,4,0.00,0
5.421,-10.83,0.23,on,201.2,0.375,0.00,11.3,1,89.6,3.56,3.95,1007,0.00,1.6,4,0.00,0
5.519,-10.90,0.22,on,201.2,0.375,0.00,11.1,1,89.6,3.60,3.87,1001,0.00,1.6,4,0.00,0
5.619,-10.91,0.22,on,201.2,0.375,0.00,8.7,1,89.6,3.70,3.82,982,0.00,2.7,3,0.00,0
5.718,-10.76,0.23,on,201.2,0.375,0.00,7.3,1,89.6,4.42,3.94,969,0.00,2.7,3,0.00,0
5.813,-10.64,0.24,on,201.2,0.375,0.00,7.3,1,89.6,4.47,4.08,973,0.00,2.7,3,0.00,0
5.917,-10.55,0.25,on,201.2,0.375,0.00,7.1,1,89.6,4.56,4.18,964,0.00,2.7,3,0.00,0
6.009,-10.50,0.26,on,201.2,0.375,0.00,4.5,1,89.6,4.47,4.24,980,0.00,2.7,2,0.00,0
